# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 390.714 -311194 647.391 164541 72.4835 72.4835 36.163 120
50 394.51 -311202 308.686 164554 72.4855 72.4855 36.164 120
100 393.697 -311204 621.141 164571 72.4879 72.4879 36.1652 120
150 391.42 -311204 125.302 164591 72.4909 72.4909 36.1667 120
200 394.526 -311214 436.891 164613 72.4941 72.4941 36.1683 120
250 390.304 -311209 -787.356 164635 72.4973 72.4973 36.1699 120
300 391.962 -311215 -876.553 164649 72.4993 72.4993 36.1709 120
350 385.083 -311201 138.283 164654 72.5001 72.5002 36.1713 120
400 392.734 -311212 -952.772 164655 72.5003 72.5003 36.1714 120
450 394.098 -311209 -1494.18 164653 72.5 72.5 36.1713 120
500 390.587 -311197 -231.407 164644 72.4987 72.4987 36.1706 120
550 393.045 -311200 -679.137 164630 72.4965 72.4965 36.1695 120
600 393.806 -311199 -141.413 164609 72.4935 72.4935 36.168 120
650 395.499 -311203 781.232 164587 72.4902 72.4902 36.1664 120
700 391.232 -311198 694.632 164569 72.4876 72.4876 36.1651 120
750 393.761 -311207 309.003 164555 72.4856 72.4856 36.1641 120
800 389.822 -311206 -351.164 164545 72.4842 72.4842 36.1634 120
850 389.015 -311209 860.607 164537 72.483 72.483 36.1628 120
900 390.806 -311215 2107.78 164538 72.4831 72.4831 36.1628 120
950 385.556 -311205 -321.321 164550 72.4848 72.4848 36.1637 120
1000 388.468 -311208 210.5 164567 72.4873 72.4873 36.1649 120
1050 390.36 -311207 564.404 164588 72.4904 72.4904 36.1665 120
1100 393.949 -311207 -720.495 164612 72.4939 72.4939 36.1682 120
1150 393.524 -311201 -970.459 164630 72.4966 72.4966 36.1696 120
1200 395.6 -311202 213.175 164643 72.4984 72.4984 36.1705 120
1250 396.984 -311203 -282.77 164653 72.5 72.5 36.1713 120
1300 392.985 -311196 63.9542 164659 72.5008 72.5008 36.1717 120
1350 393.456 -311201 -373.444 164660 72.501 72.501 36.1718 120
1400 388.896 -311200 -957.284 164655 72.5003 72.5003 36.1714 120
1450 390.51 -311208 -124.939 164641 72.4982 72.4982 36.1704 120
1500 391.678 -311214 199.58 164623 72.4956 72.4956 36.1691 120
1550 390.075 -311214 467.414 164609 72.4934 72.4934 36.168 120
1600 389.646 -311212 -610.245 164597 72.4918 72.4918 36.1672 120
1650 391.887 -311213 252.957 164583 72.4897 72.4897 36.1661 120
1700 392.502 -311208 716.314 164570 72.4878 72.4878 36.1652 120
1750 391.337 -311201 288.907 164564 72.4869 72.4869 36.1647 120
1800 393.117 -311200 26.452 164561 72.4864 72.4864 36.1645 120
1850 399.31 -311208 -204.13 164560 72.4863 72.4863 36.1644 120
1900 398.251 -311206 921.065 164562 72.4866 72.4866 36.1646 120
1950 395.244 -311204 -494.891 164569 72.4877 72.4877 36.1651 120
2000 393.65 -311206 -257.633 164576 72.4887 72.4887 36.1656 120
2050 392.659 -311209 564.91 164584 72.4898 72.4898 36.1662 120
2100 386.986 -311203 -711.671 164593 72.4912 72.4912 36.1669 120
2150 389.827 -311210 189.759 164600 72.4922 72.4922 36.1674 120
2200 388.545 -311209 226.715 164610 72.4937 72.4937 36.1681 120
2250 390.594 -311211 -919.003 164622 72.4954 72.4954 36.169 120
2300 391.644 -311209 -48.6698 164630 72.4966 72.4966 36.1696 120
2350 392.053 -311205 469.196 164635 72.4974 72.4974 36.1699 120
2400 388.512 -311194 -335.309 164638 72.4978 72.4978 36.1702 120
2450 395.793 -311206 -1056.97 164639 72.4978 72.4978 36.1702 120
2500 397.97 -311209 815.097 164635 72.4973 72.4973 36.1699 120
2550 397.381 -311210 141.206 164635 72.4973 72.4973 36.1699 120
2600 394.321 -311207 -862.418 164635 72.4973 72.4973 36.1699 120
2650 392.923 -311209 -497.576 164633 72.497 72.497 36.1698 120
2700 388.287 -311204 -189.2 164628 72.4963 72.4963 36.1694 120
2750 389.257 -311209 -554.374 164619 72.495 72.495 36.1688 120
2800 387.103 -311206 675.52 164605 72.4929 72.4929 36.1677 120
2850 388.52 -311208 354.594 164594 72.4913 72.4913 36.1669 120
2900 392.604 -311213 -1055.75 164583 72.4897 72.4897 36.1661 120
2950 394.387 -311212 463.889 164568 72.4876 72.4876 36.1651 120
3000 396.061 -311210 423.271 164558 72.486 72.486 36.1643 120
