# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 281.105 -311399 436.47 164128 72.4229 72.4229 36.1328 120
50 279.175 -311393 330.306 164118 72.4213 72.4213 36.132 120
100 278.672 -311394 16.3995 164109 72.42 72.42 36.1313 120
150 278.114 -311396 761.714 164104 72.4193 72.4193 36.131 120
200 279.541 -311403 -44.1875 164108 72.4199 72.4199 36.1313 120
250 274.641 -311399 -819.046 164113 72.4206 72.4206 36.1317 120
300 274.872 -311403 -174.023 164113 72.4207 72.4207 36.1317 120
350 275.019 -311405 -1272.76 164108 72.4199 72.4199 36.1313 120
400 275.341 -311406 103.9 164091 72.4174 72.4174 36.13 120
450 276.27 -311404 533.355 164076 72.4152 72.4152 36.129 120
500 276.88 -311401 2188 164072 72.4145 72.4145 36.1286 120
550 277.711 -311399 1072.95 164087 72.4167 72.4167 36.1297 120
600 278.426 -311397 177.68 164114 72.4207 72.4207 36.1317 120
650 278.357 -311394 -152.132 164147 72.4255 72.4255 36.1341 120
700 279.377 -311395 -160.771 164179 72.4304 72.4304 36.1365 120
750 277.697 -311394 -1040.74 164207 72.4345 72.4345 36.1386 120
800 276.277 -311394 -1188.79 164223 72.4368 72.4368 36.1397 120
850 278.617 -311404 -391.243 164221 72.4366 72.4366 36.1396 120
900 275.534 -311400 -562.349 164211 72.4351 72.4351 36.1389 120
950 272.742 -311398 -616.133 164193 72.4324 72.4324 36.1375 120
1000 274.011 -311401 310.422 164167 72.4285 72.4285 36.1356 120
1050 274.282 -311401 -10.1497 164143 72.4251 72.4251 36.1339 120
1100 277.614 -311406 676.753 164121 72.4219 72.4219 36.1323 120
1150 275.467 -311398 744.705 164106 72.4196 72.4196 36.1311 120
1200 278.123 -311399 1066.37 164099 72.4186 72.4186 36.1307 120
1250 277.695 -311396 31.408 164106 72.4195 72.4195 36.1311 120
1300 279.027 -311397 748.777 164114 72.4208 72.4208 36.1318 120
1350 276.762 -311394 -627.019 164129 72.4229 72.4229 36.1328 120
1400 276.49 -311395 -560.006 164141 72.4248 72.4248 36.1337 120
1450 276.789 -311400 995.575 164151 72.4262 72.4262 36.1344 120
1500 276.308 -311402 -101.914 164167 72.4286 72.4286 36.1356 120
1550 274.996 -311402 -389.086 164185 72.4313 72.4313 36.137 120
1600 273.656 -311401 -507.42 164198 72.4331 72.4331 36.1379 120
1650 273.688 -311401 -507.258 164205 72.4341 72.4341 36.1384 120
1700 275.604 -311403 -980.596 164204 72.4341 72.4341 36.1384 120
1750 274.385 -311398 -376.348 164192 72.4323 72.4323 36.1375 120
1800 278.253 -311401 -247.648 164174 72.4295 72.4295 36.1361 120
1850 281.195 -311404 318.781 164153 72.4265 72.4265 36.1346 120
1900 274.61 -311390 -312.892 164136 72.424 72.424 36.1333 120
1950 279.582 -311398 178.39 164120 72.4217 72.4217 36.1322 120
2000 278.85 -311398 412.556 164112 72.4204 72.4204 36.1316 120
2050 275.687 -311395 172.477 164107 72.4197 72.4197 36.1312 120
2100 278.341 -311404 92.7371 164102 72.419 72.419 36.1309 120
2150 275.3 -311402 287.323 164100 72.4187 72.4187 36.1307 120
2200 276.648 -311407 916.464 164106 72.4196 72.4196 36.1312 120
2250 276.824 -311409 427.676 164124 72.4223 72.4223 36.1325 120
2300 274.424 -311403 -331.859 164151 72.4262 72.4262 36.1345 120
2350 273.934 -311400 327.497 164179 72.4303 72.4303 36.1365 120
2400 275.587 -311400 -387.783 164206 72.4343 72.4343 36.1385 120
2450 276.318 -311398 -305.86 164223 72.4368 72.4368 36.1397 120
2500 277.939 -311398 -575.619 164232 72.4381 72.4381 36.1404 120
2550 279.263 -311399 -1548.89 164233 72.4382 72.4382 36.1404 120
2600 279.641 -311399 -1359.28 164220 72.4363 72.4363 36.1395 120
2650 278.283 -311397 -305.413 164193 72.4324 72.4324 36.1375 120
2700 276.508 -311396 -216.746 164165 72.4283 72.4283 36.1355 120
2750 278.747 -311403 389.769 164142 72.4249 72.4249 36.1338 120
2800 276.203 -311402 -756.814 164123 72.4221 72.4221 36.1324 120
2850 276.175 -311404 751.931 164101 72.4189 72.4189 36.1308 120
2900 276.576 -311407 362.456 164090 72.4173 72.4173 36.13 120
2950 273.809 -311401 654.67 164089 72.4171 72.4171 36.1299 120
3000 277.349 -311406 5.11538 164099 72.4186 72.4186 36.1307 120
3050 276.771 -311403 267.894 164114 72.4207 72.4207 36.1317 120
3100 277.173 -311400 466.573 164133 72.4235 72.4235 36.1331 120
3150 277.188 -311397 -355.931 164154 72.4267 72.4267 36.1347 120
3200 278.904 -311399 -1020.83 164174 72.4295 72.4295 36.1361 120
3250 279.733 -311400 256.5 164187 72.4316 72.4316 36.1371 120
3300 278.179 -311398 552.87 164203 72.4339 72.4339 36.1383 120
3350 278.778 -311402 -353.08 164222 72.4366 72.4366 36.1396 120
3400 277.549 -311402 -308.31 164234 72.4384 72.4384 36.1405 120
3450 273.584 -311398 -371.834 164240 72.4393 72.4393 36.141 120
3500 275.957 -311405 -975.546 164238 72.439 72.439 36.1408 120
3550 274.176 -311402 -550.206 164225 72.4372 72.4372 36.1399 120
3600 277.477 -311408 -822.825 164203 72.4338 72.4338 36.1382 120
3650 275.748 -311402 763.925 164171 72.4291 72.4291 36.1359 120
3700 275.179 -311399 738.551 164143 72.4251 72.4251 36.1339 120
3750 280.618 -311407 -811.497 164118 72.4214 72.4214 36.1321 120
3800 277.955 -311398 1685.4 164092 72.4175 72.4175 36.1301 120
3850 279.437 -311401 417.437 164078 72.4154 72.4154 36.1291 120
3900 278.051 -311399 1001.03 164074 72.4149 72.4149 36.1288 120
3950 277.794 -311401 732.16 164083 72.4162 72.4162 36.1294 120
4000 278.175 -311404 324.215 164101 72.4189 72.4189 36.1308 120
4050 273.889 -311398 327.765 164126 72.4225 72.4225 36.1326 120
4100 277.16 -311407 860.675 164152 72.4263 72.4263 36.1345 120
4150 276.198 -311406 62.9361 164182 72.4308 72.4308 36.1367 120
4200 273.758 -311401 -675.601 164212 72.4352 72.4352 36.139 120
4250 277.319 -311406 -571.714 164236 72.4387 72.4387 36.1407 120
4300 277.264 -311404 -1127.26 164248 72.4404 72.4404 36.1415 120
4350 277.217 -311400 -924.626 164243 72.4397 72.4397 36.1412 120
4400 277.184 -311397 6.87856 164227 72.4374 72.4374 36.14 120
4450 279.166 -311400 277.21 164208 72.4345 72.4345 36.1386 120
4500 278.399 -311398 -154.157 164185 72.4312 72.4312 36.1369 120
4550 280.455 -311404 -349.316 164161 72.4277 72.4277 36.1352 120
4600 278.022 -311401 57.2505 164135 72.4238 72.4238 36.1332 120
4650 277.034 -311402 116.178 164110 72.4202 72.4202 36.1314 120
4700 276.414 -311403 430.334 164092 72.4176 72.4176 36.1301 120
