# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 714.121 -309504 -68202.3 170503 73.3486 73.3486 36.5947 120
50 808.745 -309703 -55311.7 170355 73.3274 73.3274 36.5841 120
100 876.238 -309851 -41951.1 170210 73.3066 73.3066 36.5737 120
150 903.817 -309924 -29381.8 170069 73.2863 73.2863 36.5636 120
200 891.374 -309920 -18853.2 169933 73.2668 73.2668 36.5538 120
250 841.277 -309843 -10799.1 169803 73.2481 73.2481 36.5445 120
300 796.288 -309773 -5978.82 169679 73.2303 73.2303 36.5356 120
350 764.547 -309727 -3815.14 169562 73.2135 73.2135 36.5272 120
400 751.33 -309715 -4549.58 169452 73.1976 73.1976 36.5193 120
450 763.225 -309753 -8659.37 169348 73.1825 73.1825 36.5118 120
500 793.934 -309827 -15625.2 169249 73.1683 73.1683 36.5047 120
550 828.347 -309911 -24116.4 169154 73.1547 73.1547 36.4979 120
600 852.848 -309977 -32531.9 169063 73.1415 73.1415 36.4913 120
650 860.98 -310013 -39762.4 168974 73.1288 73.1288 36.485 120
700 850.188 -310013 -45333.4 168887 73.1162 73.1162 36.4787 120
750 820.016 -309976 -48681.7 168801 73.1038 73.1038 36.4725 120
800 778.514 -309916 -49681.5 168716 73.0914 73.0914 36.4663 120
850 751.84 -309883 -49196.2 168630 73.0791 73.0791 36.4602 120
900 749.489 -309896 -47209.1 168545 73.0668 73.0668 36.454 120
950 763.909 -309941 -43675.3 168460 73.0545 73.0545 36.4479 120
1000 783.523 -309997 -39257.8 168376 73.0423 73.0423 36.4418 120
1050 798.943 -310044 -34364.7 168291 73.0301 73.0301 36.4357 120
1100 803.864 -310072 -29276.7 168208 73.0181 73.0181 36.4297 120
1150 796.295 -310076 -24579.1 168126 73.0062 73.0062 36.4238 120
1200 784.03 -310071 -20934 168045 72.9945 72.9945 36.418 120
1250 773.605 -310067 -18597.3 167966 72.983 72.983 36.4123 120
1300 762.572 -310062 -17540.6 167889 72.9718 72.9718 36.4066 120
1350 755.777 -310066 -17840.5 167812 72.9607 72.9607 36.4011 120
