# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 725.507 -309480 -68448.5 170575 73.3589 73.3589 36.5998 120
50 819.68 -309678 -55584.4 170430 73.3382 73.3382 36.5894 120
100 886.758 -309825 -42271 170287 73.3177 73.3177 36.5792 120
150 914.701 -309898 -29759.8 170148 73.2977 73.2977 36.5692 120
200 902.494 -309894 -19271.4 170014 73.2784 73.2784 36.5596 120
250 852.642 -309817 -11231.8 169885 73.2598 73.2598 36.5504 120
300 808.289 -309748 -6428.94 169762 73.2422 73.2422 36.5415 120
350 776.655 -309702 -4241.29 169645 73.2254 73.2254 36.5332 120
400 763.673 -309691 -4959.82 169535 73.2096 73.2096 36.5253 120
450 775.062 -309727 -9001.59 169431 73.1945 73.1945 36.5178 120
500 805.701 -309801 -15885.5 169332 73.1803 73.1803 36.5107 120
550 840.079 -309884 -24289.1 169237 73.1666 73.1666 36.5038 120
600 864.692 -309950 -32641.9 169145 73.1534 73.1534 36.4973 120
650 872.633 -309985 -39824.8 169056 73.1406 73.1406 36.4909 120
700 862.57 -309986 -45411.6 168969 73.128 73.128 36.4846 120
750 832.368 -309949 -48782.2 168883 73.1156 73.1156 36.4784 120
800 791.128 -309889 -49841.5 168797 73.1032 73.1032 36.4722 120
850 764.441 -309855 -49382.1 168712 73.0909 73.0909 36.4661 120
900 761.744 -309868 -47394.6 168627 73.0786 73.0786 36.46 120
950 776.233 -309913 -43930.2 168543 73.0664 73.0664 36.4539 120
1000 795.566 -309968 -39544.4 168458 73.0542 73.0542 36.4478 120
1050 810.545 -310014 -34644.2 168375 73.0422 73.0422 36.4418 120
1100 816.138 -310043 -29567.3 168292 73.0302 73.0302 36.4358 120
1150 809.524 -310049 -24880.1 168211 73.0185 73.0185 36.4299 120
1200 796.733 -310042 -21243.5 168131 73.0069 73.0069 36.4242 120
1250 785.841 -310037 -18952.6 168053 72.9956 72.9956 36.4185 120
1300 774.967 -310032 -17956.4 167976 72.9844 72.9844 36.413 120
1350 768.472 -310036 -18262.9 167901 72.9735 72.9735 36.4075 120
