# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 699.5 -309535 -67846.9 170405 73.3346 73.3346 36.5877 120
50 794.753 -309735 -54926.3 170254 73.3129 73.3129 36.5768 120
100 862.805 -309885 -41507.2 170106 73.2916 73.2916 36.5662 120
150 889.815 -309957 -28854 169962 73.271 73.271 36.5559 120
200 876.98 -309953 -18273.6 169824 73.2512 73.2512 36.546 120
250 826.513 -309876 -10202.3 169693 73.2323 73.2323 36.5366 120
300 780.854 -309805 -5378.79 169569 73.2144 73.2144 36.5277 120
350 749.078 -309759 -3266.67 169451 73.1975 73.1975 36.5192 120
400 735.641 -309747 -4018.22 169341 73.1816 73.1816 36.5113 120
450 748.106 -309786 -8186.38 169237 73.1666 73.1666 36.5038 120
500 778.808 -309861 -15247.8 169138 73.1524 73.1524 36.4967 120
550 813.502 -309946 -23883.4 169044 73.1388 73.1388 36.49 120
600 837.438 -310011 -32390.4 168954 73.1257 73.1257 36.4835 120
650 845.416 -310048 -39659.2 168865 73.113 73.113 36.4771 120
700 833.727 -310046 -45202.3 168779 73.1005 73.1005 36.4709 120
750 803.621 -310010 -48537.1 168693 73.0881 73.0881 36.4647 120
800 762.124 -309950 -49482.2 168607 73.0757 73.0757 36.4585 120
850 735.487 -309917 -48941.9 168521 73.0633 73.0633 36.4523 120
900 733.423 -309931 -46910.1 168436 73.051 73.051 36.4462 120
950 748.812 -309979 -43329.6 168350 73.0386 73.0386 36.44 120
1000 768.797 -310036 -38808.9 168265 73.0262 73.0263 36.4338 120
1050 783.857 -310083 -33879.3 168180 73.014 73.014 36.4277 120
1100 788.115 -310110 -28799.3 168096 73.0018 73.0018 36.4216 120
1150 780.99 -310115 -24142.5 168013 72.9897 72.9897 36.4156 120
1200 769.016 -310110 -20485.4 167931 72.9779 72.9779 36.4097 120
1250 757.711 -310106 -18074.9 167850 72.9662 72.9662 36.4039 120
1300 746.363 -310101 -16990.7 167771 72.9548 72.9548 36.3982 120
1350 739.215 -310104 -17309 167694 72.9436 72.9436 36.3926 120
1400 739.33 -310121 -18926.2 167618 72.9326 72.9326 36.3871 120
1450 744.772 -310149 -21708 167543 72.9217 72.9217 36.3816 120
1500 753.452 -310183 -24915.6 167469 72.9109 72.9109 36.3763 120
1550 761.706 -310218 -28044.4 167395 72.9002 72.9002 36.3709 120
1600 761.108 -310235 -31010.1 167322 72.8895 72.8895 36.3656 120
1650 748.326 -310230 -33234.7 167248 72.8788 72.8788 36.3603 120
1700 739.537 -310232 -34679.7 167174 72.868 72.868 36.3549 120
1750 726.528 -310225 -35024.9 167099 72.8572 72.8572 36.3495 120
1800 718.338 -310227 -34345 167024 72.8463 72.8463 36.344 120
1850 715.414 -310239 -32364.2 166948 72.8353 72.8353 36.3385 120
1900 713.014 -310251 -29297.9 166872 72.8242 72.8242 36.333 120
1950 719.784 -310281 -26125.3 166796 72.8132 72.8132 36.3275 120
2000 723.312 -310305 -22859.8 166720 72.8021 72.8021 36.322 120
2050 717.025 -310310 -19528.7 166645 72.7912 72.7912 36.3165 120
2100 713.093 -310318 -16987 166571 72.7804 72.7804 36.3111 120
2150 707.217 -310324 -15039.5 166497 72.7697 72.7697 36.3058 120
2200 699.818 -310325 -13393.9 166425 72.7591 72.7591 36.3005 120
2250 694.873 -310332 -12411.4 166354 72.7488 72.7488 36.2954 120
2300 690.832 -310340 -12176.1 166284 72.7386 72.7386 36.2903 120
2350 690.496 -310354 -12793.7 166216 72.7286 72.7286 36.2853 120
2400 693.535 -310376 -14277.8 166149 72.7188 72.7188 36.2804 120
2450 695.989 -310396 -16294 166082 72.7092 72.7092 36.2756 120
2500 691.682 -310403 -18341.5 166017 72.6996 72.6996 36.2709 120
2550 683.284 -310403 -20099.5 165952 72.6902 72.6902 36.2661 120
2600 680.598 -310413 -21603 165888 72.6808 72.6808 36.2615 120
2650 671.839 -310412 -22091.3 165824 72.6715 72.6715 36.2568 120
2700 667.73 -310419 -21617.4 165761 72.6622 72.6622 36.2522 120
2750 666.365 -310432 -20275.5 165698 72.653 72.653 36.2476 120
2800 661.792 -310438 -18259.5 165635 72.6438 72.6438 36.243 120
2850 663.352 -310455 -16115.3 165573 72.6347 72.6347 36.2385 120
2900 663.505 -310470 -13766.9 165512 72.6258 72.6258 36.234 120
2950 659.501 -310476 -11381 165451 72.6169 72.6169 36.2296 120
3000 656.179 -310484 -9338.77 165392 72.6083 72.6083 36.2253 120
3050 652.983 -310492 -7616.58 165334 72.5998 72.5998 36.2211 120
3100 652.17 -310505 -6348.97 165278 72.5915 72.5915 36.2169 120
3150 646.994 -310508 -5443.02 165222 72.5835 72.5835 36.2129 120
3200 644.413 -310517 -5385.21 165169 72.5756 72.5756 36.209 120
3250 643.224 -310528 -5984.35 165117 72.5679 72.5679 36.2052 120
3300 638.068 -310532 -6728.6 165066 72.5605 72.5605 36.2014 120
3350 639.787 -310548 -7996.18 165016 72.5532 72.5532 36.1978 120
3400 637.135 -310556 -9205.15 164967 72.5461 72.5461 36.1942 120
3450 635.208 -310566 -10520.4 164919 72.5391 72.5391 36.1907 120
3500 629.526 -310568 -11395.5 164873 72.5322 72.5322 36.1873 120
3550 622.149 -310567 -11503.4 164826 72.5254 72.5254 36.1839 120
3600 615.3 -310566 -10775.2 164781 72.5187 72.5187 36.1806 120
3650 612.264 -310573 -9608.34 164736 72.5121 72.5121 36.1773 120
3700 616.624 -310593 -8592.12 164691 72.5056 72.5056 36.174 120
3750 615.132 -310602 -7546.45 164648 72.4992 72.4992 36.1709 120
3800 612.439 -310609 -6469.29 164605 72.4929 72.4929 36.1677 120
3850 611.521 -310619 -5062.42 164563 72.4868 72.4868 36.1647 120
3900 608.409 -310625 -3588.46 164523 72.4808 72.4808 36.1617 120
3950 600.558 -310622 -2222.26 164483 72.475 72.475 36.1588 120
4000 603.008 -310638 -1429.79 164444 72.4693 72.4693 36.156 120
4050 599.095 -310642 -822.675 164407 72.4638 72.4638 36.1532 120
4100 597.661 -310651 -823.544 164371 72.4585 72.4585 36.1506 120
4150 594.642 -310657 -1048.56 164336 72.4534 72.4534 36.148 120
4200 593.986 -310666 -1608.58 164302 72.4484 72.4484 36.1455 120
4250 589.257 -310668 -2255.66 164269 72.4435 72.4435 36.1431 120
4300 587.579 -310675 -2844.81 164236 72.4388 72.4388 36.1407 120
4350 589.08 -310689 -3358.93 164205 72.4341 72.4341 36.1384 120
4400 585.833 -310694 -3820.11 164174 72.4296 72.4296 36.1361 120
4450 583.263 -310699 -4179.49 164144 72.4252 72.4252 36.1339 120
4500 581.46 -310707 -4301.03 164115 72.4209 72.4209 36.1318 120
4550 576.907 -310709 -3838.75 164086 72.4166 72.4166 36.1297 120
4600 573.696 -310713 -2810.16 164057 72.4124 72.4124 36.1276 120
4650 573.091 -310722 -1642.49 164030 72.4084 72.4084 36.1256 120
4700 573.57 -310733 -553.026 164003 72.4044 72.4044 36.1236 120
4750 571.205 -310738 522.942 163977 72.4006 72.4006 36.1216 120
4800 563.281 -310733 1674.27 163951 72.3968 72.3968 36.1198 120
4850 562.231 -310740 2529.81 163927 72.3932 72.3932 36.118 120
4900 563.705 -310753 3296.06 163903 72.3898 72.3898 36.1163 120
4950 560.611 -310756 3935.39 163881 72.3864 72.3864 36.1146 120
5000 557.808 -310760 4092.62 163859 72.3832 72.3832 36.113 120
5050 554.906 -310764 4163.45 163838 72.3802 72.3802 36.1115 120
5100 551.209 -310766 4277.54 163819 72.3773 72.3773 36.1101 120
5150 548.191 -310770 4065.43 163800 72.3745 72.3745 36.1087 120
5200 547.891 -310778 3525.08 163782 72.3719 72.3719 36.1074 120
5250 553.041 -310797 2624.27 163765 72.3694 72.3694 36.1061 120
5300 547.114 -310795 1922.67 163748 72.3669 72.3669 36.1049 120
5350 540.711 -310791 1327.08 163733 72.3646 72.3646 36.1037 120
5400 542.226 -310802 1025.31 163717 72.3624 72.3624 36.1026 120
5450 537.376 -310801 1315.69 163702 72.3602 72.3602 36.1015 120
5500 533.041 -310801 1613.42 163688 72.3581 72.3581 36.1005 120
5550 532.416 -310808 2162.31 163674 72.3561 72.3561 36.0994 120
5600 535.736 -310823 3046.85 163661 72.3541 72.3541 36.0985 120
5650 533.157 -310826 4016.67 163649 72.3522 72.3522 36.0975 120
5700 528.536 -310825 4688.7 163637 72.3505 72.3505 36.0967 120
5750 526.699 -310829 4965.92 163625 72.3488 72.3488 36.0958 120
5800 525.908 -310836 5003.12 163615 72.3473 72.3473 36.0951 120
5850 525.089 -310842 4939.58 163605 72.3458 72.3458 36.0943 120
5900 523.148 -310846 4826.4 163596 72.3444 72.3444 36.0937 120
5950 523.127 -310854 4568.08 163587 72.3432 72.3432 36.093 120
6000 521.413 -310857 4421.68 163579 72.342 72.342 36.0924 120
6050 519.259 -310861 4395.55 163572 72.3409 72.3409 36.0919 120
6100 518.45 -310867 4199.48 163565 72.3399 72.3399 36.0914 120
6150 514.166 -310866 4028.03 163558 72.3389 72.3389 36.0909 120
6200 514.755 -310874 3779.77 163552 72.3381 72.3381 36.0905 120
6250 513.901 -310879 3554.83 163547 72.3373 72.3373 36.0901 120
6300 508.073 -310874 3659.5 163542 72.3365 72.3365 36.0897 120
6350 507.571 -310880 3976.87 163537 72.3358 72.3358 36.0894 120
6400 508.658 -310889 4284.76 163533 72.3352 72.3352 36.0891 120
6450 510.012 -310898 4251.72 163529 72.3347 72.3347 36.0888 120
6500 504.951 -310894 4269.43 163526 72.3342 72.3342 36.0885 120
6550 502.068 -310895 4229.05 163523 72.3338 72.3338 36.0883 120
6600 499.657 -310896 4395.14 163521 72.3334 72.3334 36.0881 120
6650 497.368 -310898 4691.27 163519 72.3331 72.3331 36.088 120
6700 493.392 -310896 5021.71 163517 72.3329 72.3329 36.0879 120
6750 490.125 -310896 5294.79 163516 72.3327 72.3327 36.0878 120
6800 491.095 -310903 5420.67 163515 72.3326 72.3326 36.0877 120
6850 493.027 -310913 5311.47 163515 72.3325 72.3325 36.0877 120
6900 495.624 -310924 4857.95 163515 72.3326 72.3326 36.0877 120
6950 496.203 -310930 4425.57 163516 72.3327 72.3327 36.0878 120
7000 496.894 -310937 4250.41 163517 72.3328 72.3328 36.0878 120
7050 491.507 -310932 4394.53 163518 72.333 72.333 36.0879 120
7100 483.82 -310923 4432.39 163520 72.3332 72.3332 36.0881 120
7150 484.177 -310929 4249.94 163521 72.3335 72.3335 36.0882 120
7200 486.397 -310938 4293.91 163524 72.3338 72.3338 36.0884 120
7250 485.281 -310940 4611.16 163526 72.3342 72.3342 36.0885 120
7300 481.398 -310938 5069.41 163529 72.3346 72.3346 36.0888 120
7350 480.26 -310941 5257.59 163532 72.3351 72.3351 36.089 120
7400 481.845 -310948 4925.29 163536 72.3356 72.3356 36.0893 120
7450 478.546 -310947 4578.08 163540 72.3362 72.3362 36.0895 120
7500 477.429 -310949 4417.78 163544 72.3368 72.3368 36.0899 120
7550 478.488 -310955 4257.9 163548 72.3375 72.3375 36.0902 120
7600 476.883 -310956 4019.54 163553 72.3382 72.3382 36.0905 120
7650 473.816 -310954 4160.6 163558 72.3389 72.3389 36.0909 120
7700 471.921 -310955 4682.1 163563 72.3397 72.3397 36.0913 120
7750 470.151 -310956 5111.39 163569 72.3405 72.3405 36.0917 120
7800 474.27 -310967 5280.16 163575 72.3413 72.3413 36.0921 120
7850 474.543 -310971 5431.25 163581 72.3422 72.3422 36.0925 120
7900 469.451 -310965 5463.03 163587 72.3432 72.3432 36.093 120
7950 469.672 -310969 5148.21 163594 72.3442 72.3442 36.0935 120
8000 469.442 -310972 4703.27 163601 72.3452 72.3452 36.094 120
8050 466.894 -310970 4437.91 163608 72.3463 72.3463 36.0946 120
8100 465.42 -310970 4402.61 163616 72.3474 72.3474 36.0951 120
8150 470.11 -310982 4242.15 163623 72.3485 72.3485 36.0957 120
8200 470.944 -310987 4130.15 163631 72.3497 72.3497 36.0963 120
8250 464.341 -310977 4102.74 163639 72.3509 72.3509 36.0969 120
8300 462.423 -310976 3865.02 163648 72.3521 72.3521 36.0975 120
8350 465.936 -310986 3410.61 163656 72.3533 72.3533 36.0981 120
8400 462.42 -310982 3145.94 163664 72.3546 72.3546 36.0987 120
8450 462.77 -310985 3000.5 163673 72.3559 72.3559 36.0993 120
8500 467.666 -310996 2893.96 163682 72.3571 72.3571 36.1 120
8550 465.326 -310994 2934.69 163691 72.3584 72.3584 36.1006 120
8600 462.19 -310990 2983.67 163699 72.3597 72.3597 36.1013 120
8650 462.617 -310993 2925.88 163708 72.3611 72.3611 36.1019 120
8700 462.839 -310995 3115.88 163717 72.3624 72.3624 36.1026 120
8750 461.43 -310994 3540.95 163726 72.3637 72.3637 36.1033 120
8800 464.004 -311001 3639.51 163736 72.3651 72.3651 36.1039 120
8850 464.18 -311002 3558.45 163745 72.3665 72.3665 36.1046 120
8900 460.371 -310996 3271.47 163754 72.3678 72.3678 36.1053 120
8950 460.053 -310997 2846.43 163764 72.3692 72.3692 36.106 120
9000 464.189 -311006 2423.74 163774 72.3707 72.3707 36.1067 120
9050 459.627 -310998 2243.27 163783 72.3721 72.3721 36.1074 120
9100 458.626 -310998 2036.94 163793 72.3735 72.3735 36.1081 120
9150 460.109 -311002 1930.24 163802 72.3749 72.3749 36.1089 120
9200 458.399 -310999 1829.57 163812 72.3763 72.3763 36.1096 120
9250 460.232 -311003 1776.97 163822 72.3777 72.3777 36.1103 120
9300 458.759 -311001 2172.31 163831 72.3791 72.3791 36.111 120
9350 455.541 -310995 2722.2 163841 72.3805 72.3805 36.1117 120
9400 455.959 -310996 3030.29 163850 72.382 72.382 36.1124 120
9450 460.406 -311005 2885.7 163860 72.3834 72.3834 36.1131 120
9500 457.371 -310998 2877.93 163870 72.3848 72.3848 36.1138 120
9550 456.741 -310997 2725.98 163880 72.3863 72.3863 36.1145 120
9600 458.814 -311000 2257.37 163889 72.3877 72.3877 36.1152 120
9650 455.293 -310993 1842.84 163899 72.3892 72.3892 36.116 120
9700 454.729 -310991 1451.03 163909 72.3906 72.3906 36.1167 120
9750 457.979 -310997 1263.32 163919 72.392 72.392 36.1174 120
9800 462.539 -311005 1136.62 163929 72.3935 72.3935 36.1181 120
9850 463.411 -311005 1120.41 163938 72.3949 72.3949 36.1188 120
9900 462.816 -311003 1222.5 163948 72.3963 72.3963 36.1195 120
9950 463.198 -311003 1414 163957 72.3977 72.3977 36.1202 120
10000 461.59 -310998 1771 163967 72.3991 72.3991 36.1209 120
10050 459.082 -310991 1910.45 163976 72.4005 72.4005 36.1216 120
10100 458.297 -310988 1690.18 163985 72.4018 72.4018 36.1223 120
10150 461.814 -310993 1342.88 163995 72.4032 72.4032 36.123 120
10200 464.304 -310996 1164.57 164004 72.4046 72.4046 36.1237 120
10250 468.158 -311002 1060.76 164013 72.406 72.406 36.1243 120
10300 470.605 -311004 852.178 164023 72.4073 72.4073 36.125 120
10350 467.037 -310996 645.323 164032 72.4086 72.4086 36.1257 120
10400 465.007 -310989 211.929 164041 72.41 72.41 36.1263 120
10450 463.353 -310984 -12.1062 164049 72.4113 72.4113 36.127 120
10500 464.952 -310985 -5.19658 164058 72.4125 72.4125 36.1276 120
10550 465.575 -310984 366.68 164067 72.4138 72.4138 36.1283 120
10600 467.715 -310985 791.177 164075 72.415 72.415 36.1289 120
10650 472.014 -310991 933.073 164083 72.4163 72.4163 36.1295 120
10700 473.757 -310992 1147.4 164092 72.4175 72.4175 36.1301 120
10750 471.463 -310985 1406.97 164100 72.4187 72.4187 36.1307 120
10800 467.79 -310975 1364.23 164108 72.4199 72.4199 36.1313 120
10850 470.898 -310979 969.87 164116 72.4211 72.4211 36.1319 120
10900 474.328 -310984 612.073 164124 72.4223 72.4223 36.1325 120
10950 472.672 -310979 319.103 164132 72.4235 72.4235 36.1331 120
11000 472.471 -310976 36.9613 164140 72.4246 72.4247 36.1337 120
11050 474.238 -310977 -70.6946 164148 72.4258 72.4258 36.1342 120
11100 476.102 -310978 -126.961 164156 72.4269 72.4269 36.1348 120
11150 473.052 -310970 29.4245 164163 72.428 72.428 36.1354 120
11200 475.128 -310972 115.444 164171 72.4291 72.4291 36.1359 120
11250 475.335 -310970 282.135 164178 72.4302 72.4302 36.1364 120
11300 476.404 -310971 470.027 164185 72.4312 72.4312 36.137 120
11350 478.776 -310973 688.287 164192 72.4323 72.4323 36.1375 120
11400 476.794 -310967 1000.11 164199 72.4333 72.4333 36.138 120
11450 476.588 -310964 1115.82 164206 72.4344 72.4344 36.1385 120
11500 480.229 -310969 1239.75 164213 72.4354 72.4354 36.139 120
11550 482.993 -310973 1593.26 164220 72.4364 72.4364 36.1395 120
11600 483.23 -310972 1950.01 164227 72.4374 72.4374 36.1401 120
11650 480.287 -310965 2332.69 164234 72.4385 72.4385 36.1406 120
11700 486.221 -310974 2382.48 164242 72.4395 72.4395 36.1411 120
11750 488.909 -310978 2271.95 164249 72.4406 72.4406 36.1416 120
11800 485.254 -310970 1885.27 164256 72.4417 72.4417 36.1422 120
11850 485.054 -310969 1045.3 164263 72.4427 72.4427 36.1427 120
11900 485.602 -310969 176.282 164271 72.4438 72.4438 36.1432 120
11950 480.663 -310959 -275.233 164278 72.4449 72.4449 36.1438 120
12000 473.965 -310945 -450.268 164285 72.4459 72.4459 36.1443 120
12050 477.353 -310951 -807.904 164292 72.4469 72.4469 36.1448 120
12100 481.287 -310958 -1085.14 164298 72.4479 72.4479 36.1453 120
12150 480.992 -310956 -1075.42 164305 72.4488 72.4488 36.1457 120
12200 481.293 -310956 -751.114 164311 72.4498 72.4498 36.1462 120
12250 483.439 -310959 -299.163 164317 72.4507 72.4507 36.1467 120
12300 484.86 -310962 106.366 164323 72.4516 72.4516 36.1471 120
12350 490.536 -310973 176.886 164329 72.4524 72.4524 36.1475 120
12400 490.139 -310972 271.178 164335 72.4533 72.4533 36.148 120
12450 484.549 -310962 348.414 164341 72.4542 72.4542 36.1484 120
12500 482.125 -310957 337.245 164347 72.455 72.455 36.1488 120
12550 485.484 -310963 -2.41004 164353 72.4558 72.4558 36.1492 120
12600 487.71 -310968 -607.838 164358 72.4567 72.4567 36.1496 120
12650 489.424 -310972 -1174.81 164364 72.4575 72.4575 36.15 120
12700 487.782 -310970 -1268.51 164369 72.4582 72.4582 36.1504 120
12750 486.166 -310968 -1128.76 164374 72.459 72.459 36.1508 120
12800 483.833 -310964 -843.956 164379 72.4597 72.4597 36.1512 120
12850 484.683 -310966 -634.682 164384 72.4604 72.4604 36.1515 120
12900 485.12 -310969 -404.414 164388 72.4611 72.4611 36.1518 120
12950 482.193 -310964 -73.8645 164393 72.4617 72.4617 36.1522 120
13000 483.888 -310969 -2.82226 164397 72.4624 72.4624 36.1525 120
13050 484.213 -310971 -145.939 164402 72.463 72.463 36.1528 120
13100 480.997 -310966 -468.481 164406 72.4637 72.4637 36.1531 120
13150 480.535 -310967 -602.897 164410 72.4643 72.4643 36.1534 120
13200 483.866 -310975 -634.23 164414 72.4649 72.4649 36.1537 120
13250 484.865 -310979 -741.09 164418 72.4655 72.4655 36.154 120
13300 481.061 -310974 -670.782 164422 72.466 72.466 36.1543 120
13350 478.689 -310971 -610.492 164426 72.4666 72.4666 36.1546 120
13400 475.785 -310967 -589.965 164429 72.4671 72.4671 36.1549 120
13450 472.725 -310964 -658.468 164433 72.4676 72.4676 36.1551 120
13500 473.756 -310968 -843.047 164436 72.4681 72.4681 36.1554 120
13550 476.026 -310974 -945.608 164440 72.4686 72.4686 36.1556 120
13600 475.246 -310975 -902.778 164443 72.4691 72.4691 36.1558 120
13650 476.507 -310979 -970.235 164446 72.4695 72.4695 36.1561 120
13700 478.355 -310985 -832.782 164449 72.47 72.47 36.1563 120
13750 477.178 -310984 -316.987 164451 72.4704 72.4704 36.1565 120
13800 477.628 -310987 -285.767 164454 72.4708 72.4708 36.1567 120
13850 476.639 -310988 -840.13 164457 72.4712 72.4712 36.1569 120
13900 475.692 -310988 -1423.25 164459 72.4715 72.4715 36.1571 120
13950 474.571 -310988 -1830.78 164462 72.4719 72.4719 36.1572 120
14000 471.347 -310984 -2090.32 164464 72.4722 72.4722 36.1574 120
14050 471.623 -310986 -2224.54 164466 72.4725 72.4725 36.1576 120
14100 470.574 -310986 -2129.76 164468 72.4728 72.4728 36.1577 120
14150 467.232 -310982 -1878.33 164469 72.473 72.473 36.1578 120
14200 467.979 -310985 -1653.61 164471 72.4732 72.4732 36.1579 120
14250 466.914 -310985 -1274.52 164472 72.4734 72.4734 36.158 120
14300 468.151 -310989 -1039.48 164473 72.4736 72.4736 36.1581 120
14350 471.328 -310997 -1222.77 164474 72.4737 72.4737 36.1582 120
14400 467.152 -310991 -1368.2 164475 72.4739 72.4739 36.1582 120
14450 469.703 -310997 -1640.54 164476 72.474 72.474 36.1583 120
14500 467.817 -310996 -1616.62 164477 72.4741 72.4741 36.1583 120
14550 468.012 -310998 -1761.71 164477 72.4741 72.4741 36.1584 120
14600 469.094 -311002 -1905.34 164477 72.4742 72.4742 36.1584 120
14650 469.793 -311005 -1966.3 164478 72.4742 72.4742 36.1584 120
14700 467.801 -311002 -1875.54 164478 72.4742 72.4742 36.1584 120
14750 465.953 -311000 -1808.04 164478 72.4742 72.4742 36.1584 120
14800 465.55 -311000 -1843.33 164477 72.4742 72.4742 36.1584 120
14850 466.969 -311004 -1893.86 164477 72.4741 72.4741 36.1583 120
14900 469.577 -311010 -2004.52 164476 72.474 72.474 36.1583 120
14950 463.819 -311001 -1795.61 164475 72.4739 72.4739 36.1582 120
