       0   -1201.9352    45.746916   -923.80877   -1206.3626    3.6671048   0.76032557            0            0 
       0   -1084.3762    45.769023   -923.84754   -1206.3905     84.53105    37.483302            0            0 
       0   -1119.7004    45.769023   -923.84917   -1206.3918    66.267051    20.424269            0            0 
       0   -1157.5565    45.769023   -923.85187   -1206.3938    41.976397    6.8609248            0            0 
       0   -1187.1081    45.769023   -923.85565   -1206.3967     18.71636   0.57232113            0            0 
       0   -1202.2503    45.769023   -923.86035   -1206.4004    3.2757259   0.87432989            0            0 
       0   -1199.6743    45.769023   -923.86578   -1206.4046    0.8979902    5.8323004            0            0 
       0   -1178.1121    45.769023   -923.87179   -1206.4092    14.721171     13.57597            0            0 
       0   -1137.9945    45.769023   -923.87821   -1206.4142    45.745736    22.674024            0            0 
       0   -1081.1819    45.769023   -923.88488   -1206.4194    93.092936     32.14458            0            0 
       0    -1010.683    45.769023   -923.89169   -1206.4247    154.38332    41.358428            0            0 
       0   -930.35493    45.769023   -923.89846   -1206.4301    226.14149    49.933651            0            0 
       0   -844.60045    45.769023   -923.90495   -1206.4352     304.1836    57.651142            0            0 
       0   -758.07465    45.769023   -923.91091   -1206.4399    383.97092     64.39434            0            0 
       0   -675.41162    45.769023   -923.91625   -1206.4441    460.92386    70.108653            0            0 
       0   -600.97706    45.769023    -923.9208   -1206.4477    530.69565    74.775021            0            0 
       0   -538.65216    45.769023   -923.92449   -1206.4507    589.40548    78.393029            0            0 
       0   -491.65193    45.769023   -923.92729   -1206.4529    633.83067    80.970306            0            0 
       0   -462.38065    45.769023   -923.92901   -1206.4543    661.55763    82.516005            0            0 
       0   -452.32738    45.769023   -923.92962   -1206.4548    671.09043    83.036967            0            0 
