# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 94.0165 -311757 479.439 163542 73.1777 72.8998 35.3992 120 155.848 894.657 387.813 -2381.36 -913.141 2007.47
50 93.6531 -311754 422.549 163545 73.1777 72.9031 35.3984 120 323.653 562.04 381.956 -2183.73 -674.17 1996.32
100 93.9934 -311753 307.184 163569 73.1796 72.9092 35.3995 120 493.317 -136.929 565.164 -2715.73 -1037.24 1825.2
150 94.6165 -311753 -582.114 163598 73.1834 72.9144 35.4016 120 -885.385 -597.87 -263.086 -2671.26 -1405.31 2175.6
200 94.7533 -311753 -363.542 163615 73.1845 72.9163 35.4038 120 -659.747 -392.647 -38.2323 -2556.57 -560.685 2067.21
250 94.9069 -311753 317.762 163620 73.1828 72.9157 35.4059 120 542.678 118.993 291.614 -2312.43 -970.022 1677.36
300 94.8521 -311754 235.997 163624 73.1829 72.9138 35.4076 120 219.447 219.67 268.875 -2283.78 -1049.99 2022.24
350 93.994 -311755 -198.56 163627 73.1836 72.9122 35.4087 120 -446.366 -130.894 -18.4203 -2314.41 -1166.37 1683.73
400 93.773 -311757 -328.432 163622 73.1833 72.9106 35.4087 120 -364.928 -179.693 -440.676 -2123.12 -1698.98 1640.39
450 92.771 -311756 -116.782 163612 73.1825 72.9089 35.4077 120 189.49 -316.896 -222.939 -2429.91 -1133.09 1537.43
500 93.0344 -311758 -196.494 163600 73.1824 72.9068 35.406 120 -605.67 -240.29 256.476 -2598.41 -1696.61 1425.59
550 92.9501 -311758 -22.2429 163576 73.1795 72.9032 35.404 120 71.0798 80.7538 -218.562 -2560.76 -757.386 1792.79
600 92.8965 -311757 328.295 163547 73.1755 72.8996 35.4014 120 802.349 -124.716 307.252 -2503.1 -1543.47 1560.31
650 93.6346 -311758 477.464 163530 73.1751 72.8967 35.3993 120 554.032 243.674 634.687 -2739.17 -804.138 1098.29
700 94.4308 -311758 583.127 163532 73.1778 72.8953 35.3992 120 484.421 164.748 1100.21 -2898.57 -1144.16 1394.5
750 94.5591 -311756 251.764 163553 73.1831 72.8957 35.401 120 502.653 344.728 -92.0896 -2786.13 -610.629 1107.92
800 94.915 -311755 -18.4083 163589 73.1911 72.8991 35.4033 120 -270.952 270.721 -54.9941 -2623.56 -1364.92 1283.19
850 94.9538 -311755 -555.53 163625 73.1969 72.9046 35.4056 120 -805.447 -268.808 -592.334 -3082.19 -1338.56 1503.78
900 95.0131 -311755 -8.5254 163639 73.1983 72.9086 35.406 120 -211.589 218.325 -32.3119 -3013.98 -1898.43 1338.03
