# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 199.285 -311593 285.601 164012 73.1412 73.1544 35.3951 120 173.718 554.923 128.164 610.218 -500.713 503.457
50 199.099 -311595 -696.651 164020 73.1389 73.1624 35.394 120 -575.121 -591.415 -923.416 237.486 -767.732 314.195
100 198.897 -311597 -544.288 164019 73.1355 73.1698 35.3919 120 -716.255 -104.295 -812.313 759.961 -168.521 789.206
150 198.755 -311596 92.709 164011 73.1305 73.1762 35.3894 120 305.653 -117.536 90.0098 1632.22 -787.119 431.719
200 198.461 -311594 -317.723 164000 73.1247 73.1821 35.387 120 228.04 173.41 -1354.62 1367.74 -910.337 169.373
250 200.611 -311596 419.261 163989 73.119 73.1885 35.3842 120 512.291 155.413 590.078 1369.1 -999.218 811.342
300 200.263 -311593 -476.179 163985 73.1145 73.1955 35.3822 120 -424.475 -457.903 -546.16 1545.42 -398.601 412.009
350 200.965 -311591 65.4402 163979 73.1102 73.201 35.3804 120 193.061 -96.175 99.4352 1059.02 -1044.17 1084.31
400 202.869 -311593 -160.783 163973 73.106 73.2056 35.3789 120 287.594 -1138.56 368.62 897.98 -478.303 1016.91
450 201.212 -311590 -291.437 163970 73.1036 73.2082 35.3781 120 109.425 -1287.88 304.148 1975.1 -2081.19 -201.338
500 202.021 -311593 -310.687 163969 73.1034 73.2077 35.3783 120 540.88 -1043.85 -429.092 1699.31 -1251.73 433.462
550 202.658 -311596 343.616 163968 73.105 73.2043 35.3788 120 501.387 -141.076 670.537 994.836 -446.261 597.505
600 200.381 -311593 235.927 163968 73.108 73.1998 35.3797 120 576.619 -555.591 686.752 1309.04 -359.03 174.962
650 200.546 -311597 87.604 163975 73.113 73.1941 35.3816 120 1008.4 -623.979 -121.607 1453.21 -1123.2 520.915
700 198.762 -311595 -195.957 163982 73.1198 73.1866 35.3834 120 -508.827 -71.5132 -7.53103 609.553 -544.346 413.545
750 198.49 -311595 148.377 163987 73.1265 73.1788 35.3849 120 452.492 133.174 -140.534 1111.48 -97.7375 267.283
