# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 115.885 -311721 74.298 163850 73.2048 72.9798 35.4139 120 348.47 127.369 -252.945 -1532.87 -1416.34 572.576
50 116.386 -311721 672.326 163854 73.2062 72.9801 35.414 120 756.513 503.208 757.258 -1762.41 -1676.82 205.867
100 116.831 -311721 85.3322 163864 73.2093 72.9811 35.4141 120 134.203 126.912 -5.11812 -1949.14 -1342.31 890.581
150 116.222 -311721 -386.049 163875 73.2129 72.982 35.4143 120 -171.729 -590.744 -395.673 -2039.33 -1672.17 675.79
200 115.014 -311721 -653.886 163876 73.2149 72.9813 35.4139 120 -951.982 -512.674 -497.003 -1757.26 -1598.25 -95.1329
250 114.354 -311721 236.366 163864 73.2136 72.9788 35.413 120 -223.219 155.723 776.593 -1490.12 -1609.99 -19.4213
300 113.835 -311722 -227.121 163852 73.2111 72.9758 35.4133 120 172.038 -16.3226 -837.078 -1542.84 -1173.73 308.566
350 115.17 -311726 510.672 163839 73.2089 72.9731 35.4127 120 0.912075 680.925 850.181 -1895.24 -1872.07 647.743
400 113.808 -311724 132.38 163836 73.207 72.9728 35.4132 120 707.292 -356.164 46.0109 -2062.45 -1339.84 -160.55
450 114.036 -311724 -113.151 163841 73.2069 72.972 35.4147 120 -82.3388 -13.9862 -243.129 -1797.14 -1439.19 707.216
500 115.254 -311725 211.571 163847 73.2075 72.9709 35.4163 120 37.2067 633.294 -35.7887 -2103.06 -1574.63 374.623
550 114.817 -311722 259.591 163859 73.2088 72.9714 35.418 120 -61.3898 556.998 283.164 -2019.55 -1458.59 1394.7
600 115.33 -311721 -261.523 163869 73.2087 72.9736 35.4192 120 -337.653 -286.672 -160.244 -1808.06 -1031.59 223.262
650 115.415 -311719 311.06 163873 73.2068 72.975 35.4202 120 853.991 424.275 -345.086 -1786.85 -1566.23 539.473
700 115.536 -311719 -159.494 163881 73.2072 72.9773 35.4206 120 -157.144 -8.75093 -312.586 -2102 -1663.41 774.405
750 114.705 -311718 -570.806 163885 73.2076 72.98 35.42 120 132.751 -610.628 -1234.54 -1592.01 -1273.85 434.684
800 116.018 -311721 -75.7416 163883 73.2083 72.9819 35.4183 120 -237.978 -371.881 382.634 -1332.99 -1011.34 223.509
850 114.425 -311719 -144.917 163878 73.2076 72.9834 35.4168 120 -253.776 -535.817 354.842 -1685.95 -1700.71 584
900 116.363 -311725 169.23 163864 73.2053 72.983 35.415 120 332.581 -26.2728 201.383 -2087.71 -1810.88 315.316
