# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 170.336 -311649 274.272 163791 73.1608 73.0754 35.3761 120 1032.06 6.59424 -215.843 14.3605 619.632 59.8829
50 171.437 -311650 922.622 163777 73.1604 73.0715 35.3752 120 699.167 984.829 1083.87 -322.135 392.404 422.652
100 170.82 -311646 891.921 163784 73.1633 73.0695 35.3761 120 1163.11 510.678 1001.97 -408.722 606.53 -8.24101
150 171.992 -311647 574.104 163812 73.1699 73.0697 35.379 120 802.523 574.732 345.058 -998.348 302.314 1244.99
200 171.208 -311643 -78.9493 163850 73.1782 73.0714 35.3824 120 150.77 -23.4097 -364.208 -683.374 133.098 690.861
250 171.195 -311643 810.835 163892 73.1879 73.0738 35.3855 120 874.81 664.571 893.125 -794.519 75.3295 670.797
300 170.917 -311643 -698.997 163938 73.1984 73.0772 35.3888 120 -373.584 -385.803 -1337.6 -706.95 -193.813 635.725
350 170.782 -311644 -1185.55 163970 73.2075 73.0787 35.3906 120 -1803.06 -878.714 -874.861 -443.552 918.726 461.929
400 170.662 -311646 -1289.34 163977 73.2107 73.0773 35.3913 120 -1391.99 -957.937 -1518.09 -659.82 -289.3 1265.28
450 170.365 -311647 -1522.39 163957 73.208 73.0729 35.3902 120 -1983.38 -320.641 -2263.14 -1326.56 631.242 658.8
500 171.866 -311651 23.564 163913 73.2015 73.0671 35.3868 120 -176.034 298.405 -51.6788 -1686.61 313.656 714.638
550 168.965 -311645 103.654 163867 73.1938 73.0619 35.3831 120 -642.626 351.733 601.854 -1049.16 493.235 465.45
600 170.164 -311648 -129.304 163822 73.1843 73.058 35.3798 120 -113.97 330.501 -604.443 -312.034 366.34 816.424
650 170.852 -311648 963.38 163781 73.1744 73.0556 35.377 120 770.421 901.169 1218.55 -908.024 762.356 924.109
700 171.148 -311647 1115.04 163758 73.1664 73.0563 35.3755 120 1299.53 744.593 1301.01 -748.329 743.348 856.842
750 172.548 -311648 726.85 163761 73.1631 73.0605 35.3756 120 406.698 1630 143.857 -1337.75 339.936 962.223
800 171.804 -311646 896.133 163788 73.1646 73.0688 35.3769 120 1556.37 836.342 295.691 -549.247 840.872 527.019
850 171.423 -311645 244.542 163833 73.1697 73.0801 35.3786 120 1118.82 -455.486 70.2901 -665.823 272.334 309.199
900 171.834 -311646 -589.088 163880 73.1767 73.0907 35.3803 120 -129.243 -870.738 -767.284 -745.576 941.542 1162.26
950 172.42 -311648 -307.921 163922 73.1843 73.0991 35.3816 120 -391.231 -82.7324 -449.8 -93.1765 -9.87287 537.308
1000 169.46 -311644 -1319.26 163955 73.1908 73.1054 35.3825 120 -1208.5 -1394.27 -1355.02 -180.414 357.973 878.207
1050 172.048 -311649 -495.742 163964 73.1933 73.1075 35.3822 120 -348.024 -1517.16 377.956 -325.462 303.007 435.655
1100 171.612 -311650 -1024.34 163955 73.1936 73.1048 35.3814 120 -992.451 -820.096 -1260.49 -554.995 340.984 990.294
1150 170.807 -311649 -440.475 163928 73.1915 73.0991 35.3793 120 -811.331 -260.172 -249.921 -830.753 15.4504 390.346
1200 169.409 -311646 -285.719 163892 73.1876 73.0917 35.3771 120 -39.9826 -653.689 -163.487 -691.14 551.284 577.444
1250 171.345 -311649 77.1736 163854 73.1833 73.0831 35.3751 120 457.696 -763.194 537.018 -228.309 73.4869 1000.54
1300 170.892 -311647 553.507 163822 73.1798 73.0744 35.374 120 103.942 875.874 680.705 -470.753 940.055 786.408
1350 171.325 -311646 226.358 163801 73.1769 73.068 35.3741 120 -44.3001 798.409 -75.0353 -826.127 580.461 654.166
1400 170.461 -311644 562.781 163793 73.1749 73.0643 35.3751 120 654.308 587.366 446.669 -904.126 879.568 1058.58
1450 172.752 -311647 744.056 163801 73.1762 73.0622 35.3771 120 916.622 561.551 753.995 -784.771 619.067 1022.89
1500 172.268 -311647 294.976 163824 73.1794 73.0624 35.3805 120 -79.2233 512.883 451.267 -679.541 989.038 267.66
1550 172.32 -311648 -264.367 163855 73.1826 73.0637 35.3851 120 -795.723 681.838 -679.218 -642.971 729.924 480.719
1600 170.751 -311646 -351.284 163884 73.1851 73.0658 35.3891 120 144.09 -203.046 -994.897 -805.104 399.352 299.935
1650 170.79 -311648 -27.5782 163904 73.1872 73.0678 35.3913 120 -394.389 190.61 121.045 -1252.54 381.541 -100.688
1700 170.191 -311647 -464.841 163916 73.1875 73.0702 35.3926 120 -5.37958 -173.984 -1215.16 -910.006 740.653 916.209
1750 170.524 -311648 336.514 163919 73.1872 73.0735 35.3919 120 81.3919 799.202 128.949 -143.463 534.462 634.958
1800 171.213 -311649 -333.05 163918 73.187 73.0766 35.3902 120 -808.121 330.674 -521.703 -949.991 653.032 856.199
1850 170.274 -311647 155.761 163906 73.1852 73.0784 35.3877 120 143.918 127.158 196.206 -986.35 669.521 1090.8
1900 170.801 -311646 302.23 163892 73.1828 73.0796 35.3852 120 216.359 -157.615 847.947 -171.815 881.809 348.356
