# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 85.0636 -311766 926.15 163492 73.0872 72.9553 35.4052 120 688.555 1009.7 1080.19 -1752.25 356.591 365.499
50 84.8187 -311765 373.845 163488 73.0875 72.9558 35.404 120 192.801 322.397 606.337 -1317.75 204.963 302.793
100 84.6433 -311764 149.388 163507 73.0901 72.9604 35.4047 120 209.807 457.721 -219.363 -1896.92 641.174 120.596
150 86.0149 -311767 -98.702 163539 73.0947 72.9691 35.4052 120 370.111 -610.702 -55.5146 -1277.52 255.191 218.424
200 85.2138 -311765 -526.515 163568 73.1001 72.9757 35.4056 120 -383.889 -573.034 -622.622 -1444.79 291.606 499.891
250 85.6226 -311765 37.6139 163581 73.1036 72.9783 35.4055 120 55.5988 -435.637 492.88 -1620.47 -62.5941 401.035
300 85.5439 -311765 -681.999 163587 73.1053 72.9778 35.4061 120 -815.962 -632.951 -597.084 -1680.63 535.673 742.097
350 85.2612 -311765 -371.362 163579 73.1035 72.9753 35.4064 120 -492.064 -159.625 -462.396 -1704.78 231.896 190.246
400 84.7268 -311764 -299.01 163565 73.1003 72.9712 35.407 120 -400.368 -164.645 -332.017 -1416.84 -100.695 563.27
450 84.2914 -311764 430.266 163548 73.0974 72.9665 35.407 120 506.753 180.808 603.236 -1657.5 266.866 306.744
500 85.2105 -311766 -146.044 163540 73.0963 72.9628 35.4076 120 -246.725 -238.872 47.4655 -1754.29 51.256 611.514
550 85.128 -311766 92.8955 163532 73.0943 72.9591 35.4086 120 526.846 -256.346 8.18691 -1823.43 -309.643 351.263
600 83.8892 -311764 -31.7738 163526 73.0933 72.9551 35.4097 120 159.009 88.6843 -343.015 -1613.14 447.925 132.777
650 84.5457 -311766 -121.463 163524 73.0941 72.9521 35.4103 120 -53.0877 293.417 -604.718 -1845.24 72.6219 467.573
700 85.0295 -311766 -51.4496 163525 73.0964 72.9512 35.4099 120 -533.053 607.642 -228.938 -1693.67 314.965 473.376
750 84.9574 -311764 120.439 163533 73.0983 72.9539 35.4094 120 -18.4022 241.357 138.361 -1515.56 313.702 371.521
800 84.5605 -311764 480.679 163549 73.1007 72.959 35.4092 120 315.963 618.396 507.678 -1250.7 524.413 274.523
850 85.4346 -311766 -762.729 163568 73.1024 72.9657 35.4094 120 -676.524 -786.723 -824.942 -1426.89 103.342 748.131
900 85.1801 -311764 -312.298 163566 73.1004 72.9692 35.4081 120 -124.86 -567.59 -244.443 -1646.63 231.276 506.767
950 85.1276 -311765 -28.0018 163547 73.0973 72.9685 35.406 120 -27.488 380.941 -437.458 -1582.32 254.391 506.396
1000 86.1216 -311767 270.083 163528 73.0944 72.9672 35.4039 120 464.684 -8.0888 353.654 -1339.78 282.302 502.455
1050 84.472 -311764 637.714 163524 73.0934 72.9673 35.4033 120 565.679 331.366 1016.1 -1364.63 478.522 820.511
1100 85.2425 -311766 -323.186 163543 73.0962 72.9698 35.4049 120 -169.165 -317.776 -482.617 -1637.18 -69.9648 469.827
1150 84.4108 -311764 349.215 163566 73.1011 72.9714 35.4067 120 247.759 115.75 684.135 -1635.75 464.131 999.956
1200 84.4021 -311764 -563.969 163587 73.1054 72.972 35.409 120 -509.793 -393.263 -788.85 -1619.25 -222.066 355.624
1250 84.8692 -311765 -297.298 163591 73.1057 72.9706 35.4104 120 -147.352 -592 -152.543 -1572.02 251.069 508.761
1300 84 -311764 -1059.6 163585 73.1044 72.9671 35.4114 120 -898.612 -725.537 -1554.66 -1577.82 480.336 437.68
1350 84.9185 -311766 7.15846 163549 73.0991 72.9602 35.4095 120 -530.746 309.111 243.11 -1814.56 317.296 401.831
1400 84.5839 -311764 405.494 163514 73.0926 72.9538 35.4081 120 339.739 660.971 215.771 -1395.08 496.035 304.979
1450 84.7537 -311764 846.028 163502 73.09 72.9513 35.4081 120 904.251 819.033 814.801 -1479.94 296.728 417.444
1500 85.2949 -311765 265.132 163518 73.0915 72.9537 35.4097 120 399.235 716.616 -320.455 -1532.35 -182.167 588.227
