# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
2300 146.078 -311677 218.955 163791 73.2742 72.934 35.3899 120 -433.678 335.462 755.08 -2166.16 -958.766 -975.474
2350 144.948 -311672 239.254 163783 73.2717 72.9325 35.3899 120 -66.9129 503.751 280.924 -2615.41 -512.772 -1151.09
2400 147.014 -311675 89.6759 163777 73.2678 72.9319 35.3908 120 -807.178 309.804 766.402 -2243.83 -757.194 -1318.86
2450 147.085 -311672 319.85 163770 73.2612 72.9322 35.3924 120 479.997 437.953 41.5997 -1927.09 -1315.83 -882.949
2500 147.164 -311672 829.505 163770 73.2549 72.935 35.3941 120 826.623 1426.51 235.379 -2491.57 -965.146 -1170.43
2550 147.149 -311672 698.364 163788 73.2499 72.9427 35.3966 120 344.043 1521.49 229.558 -2166.83 -1074.26 -96.9356
2600 146.653 -311672 -371.654 163820 73.246 72.9546 35.3997 120 -431.706 -420.937 -262.319 -1710.83 -985.651 -788.547
2650 145.929 -311673 203.266 163849 73.2426 72.9663 35.4019 120 870.616 -639.558 378.74 -1952.32 -980.568 -438.552
2700 144.96 -311673 -359.815 163873 73.2407 72.9756 35.4036 120 -342.787 -133.82 -602.839 -2247.14 107.526 -713.661
2750 144.983 -311675 -1054.84 163888 73.2384 72.983 35.4044 120 -201.38 -1195.31 -1767.82 -1869.26 -940.861 -621.585
2800 144.566 -311676 -592.86 163881 73.2357 72.9858 35.4026 120 156.139 -2161.96 227.241 -2032.25 -526.186 -918.549
2850 144.458 -311675 -509.256 163852 73.2326 72.9827 35.3995 120 -146.958 -951.994 -428.817 -1657.36 -413.468 -921.661
2900 144.453 -311674 -408.731 163810 73.229 72.9756 35.3956 120 -362.655 -596.609 -266.929 -1813.25 -793.678 -90.8507
2950 145.281 -311674 1030.09 163765 73.2261 72.9662 35.3918 120 1945.6 136.978 1007.71 -1656.07 -1579.12 -1249.55
3000 145.745 -311673 616.805 163739 73.2284 72.9575 35.3893 120 1018.77 299.918 531.727 -2333.7 -713.8 -341.086
3050 146.617 -311674 582.264 163726 73.2342 72.9492 35.3877 120 292.217 200.61 1253.97 -2386.17 -651.274 -1057.28
3100 146.494 -311672 727.36 163724 73.241 72.9421 35.3874 120 892.292 256.755 1033.03 -2176.86 -1022.75 -29.6828
3150 146.24 -311671 550.207 163740 73.2498 72.9372 35.3891 120 696.402 1068.26 -114.036 -2644.24 -636.948 -1296.98
