# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 307.148 -311398 -1613.34 164467 73.3275 73.1442 35.408 120 -1758.94 -1803.4 -1277.67 -1443.45 -521.796 1821.07
50 306.438 -311398 166.447 164477 73.3243 73.1481 35.4098 120 349.017 -80.153 230.478 -1534.39 -1117.64 1616.36
100 307.394 -311398 -313.861 164481 73.3212 73.1498 35.4113 120 -241.803 122.145 -821.924 -1280.73 667.789 1115.15
150 308.071 -311399 -1099.71 164479 73.3186 73.1497 35.4123 120 -385.01 -941.269 -1972.86 -1330.63 -383.503 1420.71
200 305 -311392 -917.829 164469 73.3154 73.1484 35.4121 120 -616.173 -1582.38 -554.937 -1449.92 -22.8722 1130.89
250 309.354 -311399 -1193.51 164449 73.3113 73.1453 35.4114 120 -1204.77 -1472.73 -903.019 -1283.9 -493.095 1987.68
300 309.732 -311397 -24.135 164416 73.3054 73.14 35.4098 120 525.557 -30.5363 -567.426 -1599.88 -1410.54 640.168
350 308.65 -311395 4.8031 164382 73.2998 73.1343 35.4078 120 1080.06 -913.223 -152.423 -1054.18 67.0817 1851.08
400 311.04 -311400 961.751 164348 73.2955 73.1279 35.4056 120 1399.12 6.90854 1479.23 -1204.38 -927.453 1315.35
450 308.117 -311395 -550.913 164321 73.2932 73.1215 35.4041 120 500.084 -928.758 -1224.06 -1615.49 -1082.55 -409.057
500 308.308 -311397 915.808 164297 73.2929 73.1147 35.4024 120 1294.45 1592.76 -139.79 -1044.51 -1030.04 1253.48
550 308.996 -311402 586.017 164286 73.2951 73.1097 35.4014 120 795.347 319.491 643.213 -2544.26 -706.457 816.73
600 306.113 -311399 654.436 164288 73.2995 73.1067 35.4012 120 809.23 -311.632 1465.71 -2089.8 326.916 1151.05
650 305.88 -311399 986.89 164301 73.3054 73.1045 35.4022 120 429.472 1050.74 1480.45 -1276.35 -1430.94 424.943
700 307.973 -311404 908.091 164323 73.3125 73.1037 35.4038 120 1088.1 458.789 1177.38 -1223.65 -132.35 1252.8
750 306.166 -311399 -223.741 164355 73.322 73.1042 35.4059 120 615.415 55.5191 -1342.16 -1586.02 -462.341 755.546
800 306.207 -311397 -795.711 164388 73.3328 73.1054 35.4073 120 -933.89 -258.399 -1194.85 -853.362 -127.039 1269.46
850 307.983 -311398 -473.039 164417 73.3428 73.1071 35.4078 120 -1430.2 408.614 -397.534 -1478.09 -613.702 1667.07
900 309.919 -311399 -731.27 164440 73.3508 73.1087 35.4081 120 -844.513 -806.716 -542.583 -1019.68 428.502 1189.78
950 310.923 -311399 109.331 164453 73.3565 73.1092 35.408 120 -401.538 -234.491 964.021 -1798.72 -638.305 1090.33
1000 306.347 -311389 -656.443 164461 73.3603 73.1093 35.4078 120 -189.62 -103.562 -1676.15 -1111.63 -250.124 1061.41
1050 309.536 -311396 245.283 164464 73.3633 73.1093 35.4069 120 -87.4051 102.555 720.7 -845.106 -997.187 -588.039
1100 309.691 -311397 -858.12 164468 73.3663 73.1098 35.4061 120 -1063.97 -312.583 -1197.81 -1328.59 -724.207 1642.77
1150 307.652 -311397 -816.914 164465 73.3677 73.1105 35.4045 120 -1525.16 -523.74 -401.842 -892.371 -740.927 1190.13
1200 307.374 -311400 -774.871 164452 73.3666 73.1107 35.4022 120 -1834.05 444.301 -934.871 -1763.88 -590.48 1451.01
1250 307.915 -311403 -250.545 164433 73.363 73.111 35.3996 120 -189.133 -42.7266 -519.774 -2218.38 -364.066 1344.92
1300 308.059 -311405 13.7575 164411 73.358 73.1109 35.3973 120 233.492 -148.329 -43.8902 -1439.1 -107.831 1322.24
1350 306.297 -311401 807.345 164387 73.3519 73.1109 35.3951 120 729.786 894.687 797.562 -1360.36 -164.067 705.743
1400 304.74 -311396 1010.88 164368 73.3462 73.112 35.3933 120 722.357 1089.7 1220.58 -1195.85 -1124.42 795.218
