# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
2350 71.2442 -311786 243.477 163368 73.0799 72.9026 35.4075 120 300.558 -0.0370337 429.909 -1799.66 1673.06 743.531
2400 72.3181 -311787 575.02 163364 73.0809 72.901 35.4071 120 621.405 292.013 811.64 -1657.04 1585.98 922.162
2450 71.9311 -311786 -129.194 163386 73.0864 72.9014 35.4089 120 -239.683 -49.1505 -98.7502 -1664.26 1374.23 832.567
2500 72.154 -311788 -181.59 163409 73.0926 72.9016 35.4106 120 -303.595 -163.294 -77.88 -1646.57 1593.51 883.45
2550 71.0324 -311786 -606.057 163423 73.0975 72.9011 35.4117 120 -467.385 -432.786 -918.001 -1803.59 1438.57 1057.75
2600 71.0395 -311787 286.292 163431 73.1 72.9014 35.412 120 221.019 378.876 258.98 -2276.2 2031.71 450.246
2650 70.5357 -311788 -570.093 163448 73.103 72.9039 35.413 120 -252.862 -1043.88 -413.541 -2029.97 1956.64 582.586
2700 70.0867 -311788 -163.732 163446 73.1053 72.9013 35.4127 120 -197.792 -213.713 -79.6912 -1694.85 1334.69 949.41
2750 69.9488 -311789 109.286 163429 73.1051 72.897 35.4113 120 -396.766 894.939 -170.316 -2001.9 1867.49 355.963
2800 70.7459 -311789 90.3208 163411 73.1022 72.8972 35.4087 120 372.856 17.1153 -119.009 -1882.37 1321.67 983.081
2850 70.7243 -311788 334.837 163399 73.1003 72.8987 35.4062 120 72.1619 366.134 566.216 -2064.43 1750.29 401.143
2900 70.3364 -311786 68.7418 163395 73.0978 72.9017 35.4052 120 -188.666 45.1521 349.739 -1500.21 1686.66 1150.17
2950 70.92 -311786 543.432 163389 73.0937 72.9041 35.4047 120 415.897 466.898 747.501 -1885.27 1530.47 863.404
3000 70.9242 -311785 -74.6842 163403 73.0925 72.9085 35.4061 120 33.9896 -425.132 167.089 -1763.06 1411 819.388
3050 71.2911 -311785 -200.45 163427 73.0935 72.9122 35.409 120 -140.54 -490.262 29.451 -1776.1 1509.32 824.485
3100 72.7286 -311788 -468.384 163443 73.0936 72.9133 35.412 120 -538.353 -320.033 -546.765 -1812.89 1522.5 833.025
3150 71.3941 -311786 -191.28 163443 73.0919 72.9115 35.4137 120 59.331 -280.957 -352.213 -1678.33 1915.87 383.236
3200 71.3456 -311787 -89.8364 163430 73.091 72.9069 35.4136 120 320.185 -278.945 -310.75 -1564.77 1140.32 535.413
3250 70.7546 -311787 79.2502 163411 73.0907 72.9009 35.4124 120 514.324 -157.776 -118.797 -1877.67 1367.84 525.045
3300 70.3923 -311788 513.336 163396 73.0925 72.8955 35.411 120 738.33 593.272 208.407 -1921.04 1406.26 1035.87
3350 70.283 -311789 132.72 163401 73.0979 72.8939 35.4102 120 -80.8729 361.4 117.632 -1956.47 1560.21 576.872
3400 70.2928 -311789 16.1781 163416 73.1027 72.8962 35.4099 120 -574.825 438.443 184.917 -1805.1 1517.4 1089.84
3450 70.1085 -311788 -584.912 163431 73.1051 72.9013 35.4095 120 -654.739 -643.595 -456.4 -1686.42 1994.61 1260.86
3500 70.7579 -311788 -202.944 163433 73.1045 72.9054 35.4082 120 -611.745 -405.668 408.58 -1803.48 1564.52 791.853
3550 71.0184 -311787 39.3229 163434 73.1023 72.9079 35.4084 120 -197.678 -398.626 714.273 -1606.38 1836.21 1002.46
3600 71.4735 -311785 -297.006 163433 73.0979 72.9077 35.4104 120 -13.218 -289.277 -588.523 -1572.2 1658.52 786.751
3650 71.8657 -311786 -583.973 163418 73.0914 72.9047 35.4117 120 -105.592 -227.286 -1419.04 -1996.08 2082.31 890.113
3700 71.7615 -311785 429.94 163394 73.0856 72.9027 35.4104 120 497.557 555.61 236.652 -1679.22 1573.49 930.47
3750 72.4095 -311787 342.147 163399 73.0854 72.9069 35.4096 120 605.613 128.182 292.647 -1754.2 1713.29 667.589
3800 70.7072 -311785 62.3229 163424 73.0892 72.9139 35.4096 120 26.0549 -61.7821 222.696 -1896.48 1490.71 707.84
3850 70.7427 -311787 -568.505 163449 73.094 72.9191 35.4102 120 -244.882 -1069.41 -391.226 -1677.62 1519.84 659.545
3900 70.1377 -311787 -582.275 163455 73.0979 72.9182 35.4101 120 -594.06 -961.813 -190.95 -1894.34 1627.24 1295.97
3950 70.4438 -311789 -742.119 163436 73.0984 72.9105 35.4096 120 -681.151 -737.79 -807.417 -1842.11 1559 1104.88
4000 69.898 -311789 341.505 163393 73.0947 72.8989 35.4076 120 169.971 393.664 460.879 -2157.25 1388.69 552.257
4050 70.5025 -311790 869.235 163359 73.0914 72.8891 35.4065 120 658.857 597.11 1351.74 -1709.52 1562.15 768.538
4100 71.0629 -311790 409.145 163359 73.0922 72.8847 35.4083 120 166.833 1232.24 -171.642 -1898.22 1699.41 595.904
4150 70.2545 -311787 66.8992 163388 73.0956 72.8884 35.4111 120 462.503 137.65 -399.455 -2220.62 1131.89 793.502
4200 71.7186 -311788 383.379 163422 73.1008 72.8941 35.4131 120 151.186 363.178 635.772 -1761.74 1514.51 418.152
4250 71.2513 -311786 165.859 163461 73.1065 72.902 35.4151 120 -228.07 338.663 386.985 -1874.02 1169.07 987.188
4300 72.2254 -311786 -752.155 163493 73.1096 72.9112 35.416 120 -867.945 -885.235 -503.284 -1411.44 1704.12 1058.79
4350 71.4635 -311785 -1086.4 163491 73.1056 72.9159 35.4153 120 -1034.72 -1499.65 -724.82 -1501.33 1339.32 1125.46
4400 71.4315 -311785 79.3142 163448 73.0941 72.9124 35.4131 120 -4.85882 -44.4382 287.24 -1537.92 1694.61 600.719
4450 71.1202 -311787 421.64 163393 73.0816 72.9058 35.4106 120 550.822 763.809 -49.7104 -1897.84 1232.09 1222.94
4500 70.5941 -311788 809.944 163363 73.075 72.9044 35.4078 120 972.356 1243.05 214.423 -1653.34 1420.79 677.391
4550 70.6881 -311790 745.558 163380 73.0771 72.9112 35.4072 120 1099.57 381.685 755.423 -1618.88 1455.35 1153.92
4600 69.3659 -311788 -360.8 163421 73.085 72.9185 35.4089 120 -211.252 -875.868 4.71826 -1482.81 876.853 566.314
4650 70.4831 -311790 -535.684 163453 73.0914 72.9218 35.411 120 -149.834 -1048.04 -409.176 -1524.05 1305.58 1439.88
4700 70.4635 -311789 -461.14 163462 73.0956 72.9185 35.4125 120 -379.323 -852.208 -151.889 -1823.94 1022.22 646.356
4750 70.4089 -311788 -125.455 163447 73.0966 72.9098 35.413 120 -33.4144 -155.974 -186.975 -1800.63 1300.91 1018.53
4800 70.4629 -311787 -210.495 163425 73.0964 72.9012 35.4126 120 42.9331 118.538 -792.957 -1994.58 1505.18 855.387
4850 71.5963 -311788 74.055 163411 73.0975 72.8961 35.4115 120 -44.8856 615.26 -348.209 -1907.99 1359.33 332.058
4900 71.837 -311787 312.772 163411 73.1005 72.8957 35.4102 120 -189.559 500.122 627.752 -1780.08 1562.5 1142.17
4950 72.0608 -311787 -22.2229 163424 73.1034 72.8979 35.4104 120 -274.886 347.379 -139.162 -2056.77 1117.18 396.079
5000 71.5213 -311786 -28.5068 163431 73.1038 72.9003 35.4107 120 -33.0644 -325.795 273.339 -1961.39 1235.21 624.385
5050 71.1438 -311786 78.3925 163434 73.103 72.9011 35.4113 120 -374.765 383.11 226.833 -1891.16 735.468 805.835
5100 70.63 -311787 -461.621 163435 73.0999 72.9028 35.4122 120 -288.548 -386.368 -709.948 -1708.04 1350.04 657.18
5150 70.9822 -311789 -30.4475 163421 73.0935 72.9046 35.4114 120 -91.6664 287.793 -287.469 -1962.31 674.914 642.739
5200 70.0542 -311789 406.155 163409 73.0869 72.9086 35.4101 120 450.503 391.426 376.535 -1775.47 1714.76 606.33
5250 70.3008 -311790 -370.801 163413 73.0828 72.9137 35.4105 120 -59.4167 -634.019 -418.966 -1805.48 1045.18 772.216
5300 70.1211 -311789 -24.7812 163415 73.0799 72.9165 35.4111 120 471.472 -517.61 -28.2061 -1771.18 1380.93 1069.77
5350 70.8449 -311790 200.995 163422 73.0801 72.9176 35.4119 120 560.941 173.36 -131.315 -1697.12 929.632 989.584
5400 70.5095 -311788 -465.257 163435 73.0842 72.9179 35.4124 120 -687.616 -397.903 -310.251 -1352.6 1178.38 847.902
5450 71.8292 -311789 -321.351 163437 73.0877 72.916 35.4122 120 -525.477 -270.824 -167.75 -1569.74 1411.75 724.618
5500 71.6077 -311787 289.175 163432 73.0887 72.9125 35.4123 120 274.275 384.845 208.405 -1741.27 1401.89 1212.91
5550 71.7663 -311787 112.752 163437 73.0916 72.9098 35.4133 120 458.088 -123.932 4.09972 -1805.77 1196.85 419.032
5600 72.1321 -311787 -663.482 163449 73.0986 72.9067 35.414 120 -692.109 -700.704 -597.632 -1887.09 1167.66 1041.67
5650 72.2841 -311787 -74.7648 163437 73.1025 72.8996 35.413 120 -144.774 52.3326 -131.853 -1802.08 1249.12 236.584
5700 71.0197 -311787 119.957 163419 73.1029 72.8934 35.4118 120 -70.7657 604.231 -173.595 -1927.67 1621.27 1297.76
5750 70.7241 -311788 121.852 163405 73.1011 72.8915 35.4107 120 -37.2812 488.321 -85.4826 -2133.85 1296.2 898.016
5800 70.4851 -311789 -98.0146 163400 73.0985 72.8932 35.41 120 183.919 -61.7285 -416.235 -1855.54 1540.45 1132.84
5850 69.9285 -311789 166.945 163395 73.0963 72.8964 35.4085 120 96.6061 -148.689 552.917 -1942.01 771.512 311.413
5900 70.3719 -311790 -78.8035 163402 73.0962 72.9001 35.4082 120 -517.566 330.639 -49.4839 -2071.66 1059.22 589.963
5950 70.1355 -311789 94.5387 163418 73.0955 72.9063 35.409 120 532.883 -63.531 -185.736 -1767.27 1355.62 833.085
6000 70.0964 -311787 188.542 163448 73.0984 72.9132 35.4108 120 369.297 -591.139 787.468 -1875.69 1350.38 965.63
6050 70.5619 -311787 -586.488 163486 73.1022 72.9188 35.4144 120 -351.185 -811.997 -596.282 -1773.34 1274 852.421
6100 71.5651 -311787 -481.017 163500 73.1028 72.9212 35.4161 120 -464.925 -500.602 -477.523 -1892.78 1247.51 1108.54
6150 71.4316 -311786 -908.096 163484 73.0997 72.9187 35.4153 120 -1011.42 -866.454 -846.414 -2028.51 1355.65 734.544
6200 71.8995 -311786 180.416 163431 73.0916 72.9097 35.4121 120 -121.396 151.562 511.081 -1771.99 1526.51 996.835
6250 71.7741 -311787 594.589 163386 73.0839 72.9011 35.4102 120 451.848 819.411 512.509 -1821.64 1028.6 834.45
6300 72.344 -311789 -143.147 163367 73.0807 72.896 35.4102 120 70.3826 -2.03495 -497.788 -2218.66 1347.85 1012.24
6350 71.7405 -311789 651.064 163358 73.081 72.892 35.4099 120 360.605 1255.41 337.178 -1922.94 861.519 473.812
6400 70.1064 -311788 642.968 163376 73.0847 72.8946 35.4107 120 591.172 973.739 363.993 -1845.4 1281.07 626.309
6450 69.8779 -311788 235.718 163416 73.0919 72.9021 35.4124 120 450.746 117.589 138.82 -1398.14 1138.62 764.201
6500 70.0186 -311789 -631.781 163468 73.1013 72.9114 35.4145 120 -508.212 -392.501 -994.629 -2357.36 1539.01 591.85
6550 70.1864 -311789 -461.166 163497 73.1073 72.9188 35.4143 120 -728.778 -253.167 -401.553 -2118.63 1211.26 970.971
6600 70.2134 -311788 -361.985 163498 73.1092 72.9221 35.4121 120 -332.46 -599.646 -153.848 -1846.94 1687.9 855.461
6650 70.4209 -311787 -321.772 163480 73.1081 72.9204 35.4094 120 -585.639 -533.912 154.236 -1820.8 757.657 933.803
6700 71.18 -311787 -361.34 163443 73.1017 72.9151 35.4072 120 -730.117 -611.49 257.587 -1648.53 1295.54 559.253
6750 70.7065 -311784 382.981 163401 73.0915 72.9082 35.4063 120 376.558 456.36 316.026 -1814.52 492.064 1073.28
6800 71.7934 -311786 471.875 163381 73.0851 72.9047 35.4069 120 502.344 381.132 532.151 -1563.2 1588.81 820.421
6850 71.6589 -311786 476.103 163389 73.084 72.9048 35.409 120 1546.38 -310.048 191.974 -1879.22 888.168 719.909
6900 72.1801 -311788 -15.3009 163415 73.0904 72.9046 35.4117 120 160.424 -105.679 -100.648 -1766.04 1560.9 812.557
6950 71.3577 -311787 65.9642 163444 73.0978 72.9049 35.4141 120 -316.909 477.212 37.5892 -1791.04 1272.8 858.736
7000 70.7189 -311787 -188.183 163471 73.1019 72.907 35.4171 120 -366.111 -281.899 83.4615 -1943.28 1204.79 1259.21
7050 70.2169 -311789 -758.136 163481 73.1027 72.9067 35.419 120 -958.318 -403.479 -912.611 -2018.88 766.105 908.548
7100 70.0312 -311789 -251.614 163455 73.0974 72.9026 35.418 120 -364.217 143.856 -534.48 -1547.96 773.516 963.134
7150 70.0217 -311789 705.163 163421 73.0899 72.8998 35.4156 120 852.423 1036.54 226.526 -1813.51 1130.66 1141.61
7200 69.7432 -311788 122.845 163412 73.0872 72.9026 35.4134 120 455.055 96.3349 -182.856 -1816.98 776.05 1191.78
7250 70.4618 -311789 347.319 163409 73.0874 72.907 35.4106 120 298.628 267.881 475.449 -1844.05 921.489 1082.31
7300 70.7491 -311788 -222.779 163420 73.0896 72.9133 35.4088 120 -260.487 -600.032 192.181 -1698.68 868.254 1062.78
7350 71.5859 -311787 -9.45662 163429 73.0913 72.9179 35.4078 120 -63.2142 15.1566 19.6878 -1828 721.928 927.874
7400 72.0187 -311787 5.80334 163444 73.0937 72.9223 35.4076 120 176.399 -446.673 287.685 -1937.42 986.92 664.914
7450 71.9154 -311786 -78.294 163466 73.0975 72.9249 35.4095 120 203.159 -462.763 24.7213 -1848.08 749.291 828.327
7500 71.7479 -311785 -109.284 163482 73.1003 72.9234 35.4122 120 -92.2331 -396.401 160.781 -1324.92 731.315 1176.71
7550 71.6622 -311786 -615.657 163482 73.1005 72.918 35.4148 120 -828.568 -533.176 -485.227 -2083.93 934.644 775.281
7600 70.7982 -311787 -608.566 163456 73.0963 72.9085 35.4158 120 -438.282 -515.987 -871.429 -1637.57 1449.64 1173.77
7650 71.1473 -311790 519.844 163414 73.0905 72.8972 35.415 120 297.434 654.86 607.24 -1586.24 1013.71 875.916
7700 70.4185 -311790 575.692 163391 73.0874 72.8909 35.4146 120 767.047 728.827 231.203 -1504.03 819.342 894.528
7750 69.7363 -311789 308.944 163392 73.0877 72.8912 35.4144 120 481.974 477.741 -32.8833 -1963.62 1475.85 639.567
