# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
0 79.8312 -311777 -22.4557 163514 73.0637 72.9705 35.4139 120 -115.196 160.913 -113.084 -519.262 -413.656 2529.81
50 80.021 -311777 -389.216 163522 73.0657 72.9732 35.4134 120 -346.018 -383.207 -438.423 -358.012 -606.78 3065.37
100 79.0049 -311775 -585.86 163522 73.0676 72.9746 35.412 120 -436.841 -560.264 -760.475 -586.929 -17.8874 2660.1
150 78.7792 -311776 494.459 163509 73.0685 72.9734 35.4093 120 155.138 658.453 669.785 -771.702 -206.07 3182.07
200 79.8548 -311780 -204.047 163501 73.0695 72.9737 35.4069 120 -77.1119 -81.3383 -453.692 -372.748 -42.73 2659.69
250 80.0439 -311782 -318.185 163489 73.0707 72.9733 35.4038 120 -385.931 -337.973 -230.65 -854.218 -36.9243 2447.15
300 78.1808 -311780 591.723 163469 73.0716 72.9703 35.4005 120 627.448 205.572 942.148 -854.602 -60.4817 2936.01
350 78.0549 -311779 397.761 163467 73.0737 72.9688 35.3997 120 337.869 -98.9395 954.353 -585.289 -239.837 2114.54
400 77.9528 -311779 469.281 163478 73.0754 72.9676 35.4019 120 107.745 492.915 807.184 -935.604 -289.768 2551.35
450 78.4221 -311779 495.337 163498 73.0761 72.9678 35.4059 120 -29.6118 832.449 683.174 -131.776 -79.6195 2309.22
500 78.3773 -311777 82.1189 163528 73.0761 72.9721 35.4103 120 135.711 168.345 -57.6994 -746.717 -193.224 2761.08
550 80.0305 -311779 -383.309 163559 73.0769 72.9776 35.4138 120 -48.4825 -481.12 -620.324 -976.587 49.3689 2341.03
600 79.0838 -311776 -957.242 163581 73.0775 72.9822 35.4161 120 -1115.22 -877.996 -878.506 -468.252 -503.852 2690.45
650 79.2471 -311775 -532.571 163568 73.0717 72.9828 35.4158 120 -288.014 -601.812 -707.889 -642.821 -142.874 2880.04
700 80.1134 -311778 310.706 163528 73.0632 72.9788 35.4133 120 550.031 -51.1367 433.224 -475.815 87.4353 2376.4
750 79.4475 -311777 252.627 163488 73.0571 72.973 35.4105 120 165.661 239.658 352.561 -19.3627 -132.939 2513.41
800 80.0704 -311780 474.215 163458 73.0532 72.9682 35.408 120 829.743 119.444 473.459 -636.534 100.756 2417.36
850 78.5611 -311779 513.138 163447 73.0544 72.9651 35.4066 120 705.851 710.369 123.195 -695.19 -227.212 2526.3
900 77.766 -311778 548.227 163454 73.0592 72.9656 35.4055 120 432.416 527.097 685.169 -499.712 -326.655 2626.56
950 78.4317 -311780 147.291 163483 73.0663 72.9703 35.4062 120 115.174 139.615 187.084 -665.145 -501.152 1936.98
1000 79.0538 -311782 -116.722 163522 73.0747 72.976 35.4078 120 -248.244 -71.9277 -29.9951 -617.005 -268.004 2231.24
1050 78.4019 -311780 -298.092 163549 73.0817 72.9796 35.4085 120 -315.28 -402.484 -176.513 -509.907 -680.943 2247.99
1100 78.7779 -311780 -456.785 163558 73.0852 72.9802 35.4084 120 -888.94 -476.365 -5.04905 -822.571 -103.036 2404.75
1150 79.1609 -311779 -435.933 163549 73.0833 72.9778 35.4086 120 -438.78 -776.004 -93.0134 -966.8 -45.8454 2181.13
1200 78.332 -311777 -646.264 163521 73.0784 72.9701 35.4087 120 -761.267 -365.877 -811.647 -824.21 -86.5542 2530.3
1250 79.6875 -311779 735.792 163480 73.0708 72.9611 35.4077 120 574.102 1035.54 597.736 -605.99 -171.47 2373.48
1300 80.0751 -311779 561.284 163462 73.0658 72.9577 35.408 120 816.453 400.351 467.049 -517.611 -132.818 3020.55
1350 80.4961 -311780 255.348 163470 73.0652 72.9577 35.41 120 19.604 424.086 322.353 -151.193 -226.347 2609.82
1400 78.9239 -311778 827.987 163487 73.0662 72.9601 35.4121 120 238.202 1178.31 1067.45 -535.88 113.467 2614.18
