# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
2350 25.5093 -311862 67.0363 163170 72.8861 72.9943 35.414 120 -127.426 10.2806 318.254 285.906 -1784.68 -570.849
2400 25.3473 -311862 -414.522 163194 72.8924 73.0019 35.4125 120 -685.995 -447.675 -109.897 471.501 -1702.89 -634.076
2450 25.361 -311863 -55.9578 163173 72.8865 73.0011 35.4112 120 -321.042 -22.977 176.146 200.43 -1704.81 -288.328
2500 24.7338 -311864 248.007 163143 72.8755 72.9985 35.4113 120 445.557 16.136 282.329 364.688 -1761.42 -531.048
2550 24.5925 -311864 -49.2666 163153 72.8747 72.9965 35.4148 120 196.555 -133.823 -210.531 434.412 -1816.39 -513.15
2600 24.4879 -311864 -97.5538 163178 72.8807 72.9939 35.4186 120 63.0856 -81.1792 -274.568 199.17 -2240.3 -488.196
2650 24.5199 -311864 -180.37 163186 72.8868 72.9893 35.4198 120 -193.298 -33.7504 -314.063 327.747 -1763.18 -765.656
2700 24.7125 -311864 -39.1409 163167 72.8882 72.9841 35.4174 120 -436.89 189.622 129.845 492.395 -1618.18 -278.004
2750 24.7992 -311864 364.055 163157 72.8861 72.984 35.4163 120 348.65 424.019 319.495 328.362 -1721.32 -632.317
2800 24.9589 -311863 -289.153 163185 72.89 72.9911 35.4171 120 2.8716 13.4838 -883.815 541.304 -2077.97 -313.476
2850 25.1264 -311862 7.66906 163189 72.8956 72.995 35.4133 120 -57.1764 -87.1915 167.375 239.145 -2030.7 -601.506
2900 25.5588 -311862 2.96319 163173 72.8967 72.9925 35.4105 120 -501.023 -159.031 668.943 166.679 -2087.88 -421.073
2950 25.4502 -311862 32.1145 163151 72.887 72.988 35.4126 120 -70.3797 127.477 39.2458 345.072 -1814.59 -487.157
3000 25.5003 -311862 302.493 163147 72.8753 72.9876 35.4176 120 247.877 534.903 124.7 274.294 -1822.17 -400.596
3050 25.579 -311863 -114.523 163181 72.8703 72.9953 35.4236 120 34.9374 118.594 -497.102 265.177 -1815.79 -547.651
3100 24.9887 -311863 -298.155 163205 72.8696 73.0043 35.4248 120 394.452 -658.196 -630.721 428.057 -1886.52 -822.593
3150 24.6807 -311864 -246.716 163191 72.8752 73.0039 35.4193 120 -75.0514 -318.178 -346.919 448.028 -1829.53 -382.003
3200 24.5716 -311864 216.595 163155 72.881 72.9973 35.4119 120 105.836 180.643 363.306 344.225 -1872.09 -602.54
3250 24.2666 -311864 173.455 163150 72.8878 72.9945 35.4089 120 218.163 -29.3496 331.552 387.044 -1907.83 -475.415
3300 24.3345 -311864 -83.0843 163173 72.8968 72.9934 35.4099 120 112.439 -319.257 -42.435 176.332 -1828.65 -572.743
3350 24.7754 -311864 -402.794 163194 72.905 72.9897 35.4123 120 -679.627 -197.37 -331.385 172.735 -1905.79 -475.895
3400 24.8873 -311863 105.05 163170 72.901 72.9824 35.4127 120 -315.695 341.503 289.341 183.579 -2080.98 -652.767
3450 25.214 -311862 365.956 163152 72.8912 72.9798 35.4147 120 352.379 501.999 243.489 163.099 -2014 -440.097
3500 25.2628 -311862 125.927 163172 72.8859 72.986 35.4188 120 28.6256 81.7465 267.408 131.922 -1843.95 -439.479
3550 25.4959 -311862 -122.363 163196 72.8798 72.9945 35.4227 120 84.4372 39.4189 -490.946 290.767 -1837.79 -360.759
3600 25.5265 -311862 -189.243 163204 72.8768 73.0014 35.4225 120 90.9882 -265.389 -393.327 455.61 -1635.99 -279.636
3650 25.4918 -311863 -243.847 163192 72.8786 73.0018 35.4188 120 -400.699 -304.01 -26.833 296.649 -1892.22 -483.819
3700 25.2693 -311863 -262.491 163160 72.8776 72.9978 35.4144 120 -284.828 -168.309 -334.337 358.702 -1927.86 -692.446
3750 24.8629 -311864 478.07 163126 72.8749 72.9934 35.4103 120 536.168 218.552 679.492 274.308 -1841.25 -473.385
3800 24.7145 -311864 303.39 163135 72.8783 72.9916 35.4117 120 203.582 124.199 582.39 342.779 -1690.93 -524.069
3850 24.4899 -311864 -97.6647 163179 72.8868 72.9915 35.417 120 -150.296 -24.5358 -118.162 440.959 -2002.55 -533.808
3900 24.5115 -311864 -314.102 163212 72.8935 72.9899 35.4218 120 -345.589 -29.3988 -567.319 481.206 -1707.27 -617.455
3950 24.6417 -311864 -168.737 163204 72.8949 72.9858 35.4212 120 -306.028 210.054 -410.237 157.286 -1727.76 -435.606
4000 24.5357 -311863 -103.301 163166 72.8897 72.9842 35.4165 120 -380.628 8.66222 62.0634 387.703 -1758.28 -418.417
4050 25.1697 -311864 300.477 163131 72.8798 72.9853 35.4131 120 340.208 258.116 303.109 567.525 -1917.53 -445.038
4100 25.2342 -311863 260.984 163136 72.8767 72.9904 35.4131 120 399.349 243.432 140.172 207.544 -1765.9 -320.671
4150 25.5637 -311863 -174.813 163174 72.8812 73 35.4145 120 -240.009 -235.66 -48.7698 246.424 -1677.12 -433.126
