# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 387.933 -311614 1222.88 163231 72.2906 72.2906 36.0668 120
50 387.643 -311624 1023.16 163319 72.3037 72.3037 36.0733 120
100 384.773 -311618 1025.76 163406 72.3164 72.3164 36.0797 120
150 392.335 -311620 96.6514 163482 72.3276 72.3276 36.0853 120
200 399.55 -311615 876.143 163547 72.3373 72.3373 36.0901 120
250 405.832 -311609 1978.53 163609 72.3463 72.3463 36.0946 120
300 405.639 -311591 115.172 163667 72.355 72.355 36.0989 120
350 407.117 -311585 42.5578 163716 72.3621 72.3621 36.1025 120
400 407.741 -311586 -1030.55 163754 72.3678 72.3678 36.1053 120
450 407.5 -311595 -1350.36 163778 72.3714 72.3714 36.1071 120
500 401.261 -311597 -780.491 163789 72.3729 72.3729 36.1079 120
550 401.372 -311617 -1024.45 163789 72.3729 72.3729 36.1079 120
600 392.765 -311618 -418.318 163782 72.3719 72.3719 36.1073 120
650 388.87 -311624 -1495.22 163771 72.3703 72.3703 36.1066 120
700 392.919 -311638 -11.8186 163754 72.3678 72.3678 36.1053 120
750 398.5 -311645 -1011.2 163736 72.3651 72.3651 36.104 120
800 395.444 -311631 -879.828 163713 72.3618 72.3618 36.1023 120
850 399.027 -311624 532.388 163687 72.3579 72.3579 36.1004 120
900 405.494 -311623 1730.12 163667 72.3549 72.3549 36.0989 120
950 405.577 -311613 -185.93 163658 72.3537 72.3537 36.0983 120
1000 409.734 -311615 807.956 163650 72.3525 72.3525 36.0977 120
1050 409.028 -311615 2222.47 163649 72.3524 72.3524 36.0976 120
1100 407.618 -311621 -157.643 163666 72.3547 72.3547 36.0988 120
1150 406.266 -311631 1211.06 163686 72.3578 72.3578 36.1003 120
1200 396.546 -311626 -1267.59 163710 72.3613 72.3613 36.1021 120
1250 395.369 -311636 1591.5 163727 72.3638 72.3638 36.1033 120
1300 394.572 -311643 29.4231 163746 72.3666 72.3666 36.1047 120
1350 391.499 -311642 -216.252 163765 72.3695 72.3695 36.1061 120
1400 395.432 -311645 364.341 163783 72.3721 72.3721 36.1074 120
1450 395.01 -311636 289.078 163803 72.3751 72.3751 36.1089 120
1500 398.598 -311631 141.544 163824 72.378 72.378 36.1104 120
1550 405.404 -311632 -420.347 163843 72.3809 72.3809 36.1119 120
1600 406.399 -311626 -622.731 163860 72.3833 72.3833 36.113 120
1650 402.028 -311615 1084.7 163873 72.3853 72.3853 36.1141 120
1700 402.679 -311619 -502.449 163891 72.388 72.388 36.1154 120
1750 403.648 -311629 -1283.33 163906 72.3901 72.3901 36.1164 120
1800 402.674 -311638 216.167 163908 72.3904 72.3904 36.1166 120
1850 398.042 -311640 37.1434 163905 72.3901 72.3901 36.1164 120
1900 394.86 -311644 332.397 163902 72.3896 72.3896 36.1162 120
1950 396.476 -311654 -1186.97 163898 72.389 72.389 36.1159 120
2000 397.652 -311659 -1265.06 163887 72.3874 72.3874 36.1151 120
2050 394.573 -311650 215.578 163868 72.3845 72.3845 36.1136 120
2100 399.339 -311651 1047.28 163850 72.3819 72.3819 36.1123 120
2150 398.502 -311639 621.069 163842 72.3807 72.3807 36.1118 120
2200 402.167 -311637 363.106 163841 72.3806 72.3806 36.1117 120
2250 402.987 -311633 1585.23 163847 72.3814 72.3814 36.1121 120
2300 402.798 -311631 436.945 163860 72.3834 72.3834 36.1131 120
2350 404.783 -311637 -347.11 163876 72.3858 72.3858 36.1143 120
2400 403.251 -311640 -774.465 163890 72.3878 72.3878 36.1153 120
2450 402.999 -311648 856.266 163899 72.3892 72.3892 36.116 120
2500 397.369 -311647 -19.1969 163909 72.3906 72.3906 36.1167 120
2550 396.031 -311653 425.325 163915 72.3915 72.3915 36.1171 120
2600 394.69 -311654 215.438 163918 72.3919 72.3919 36.1173 120
2650 397.26 -311659 -553.466 163919 72.3921 72.3921 36.1174 120
2700 395.717 -311651 -836.039 163919 72.392 72.392 36.1174 120
2750 397.326 -311647 104.582 163913 72.3912 72.3912 36.117 120
2800 400.44 -311643 230.553 163909 72.3906 72.3906 36.1167 120
2850 402.226 -311639 726.624 163907 72.3904 72.3904 36.1166 120
2900 406.923 -311644 206.472 163909 72.3906 72.3906 36.1167 120
2950 405.038 -311639 534.981 163911 72.391 72.391 36.1169 120
3000 402.946 -311640 703.311 163920 72.3922 72.3922 36.1175 120
3050 402.248 -311645 -730.273 163931 72.3938 72.3938 36.1183 120
3100 399.56 -311649 -425.593 163938 72.3949 72.3949 36.1188 120
3150 398.745 -311655 -1064.49 163943 72.3955 72.3955 36.1191 120
3200 395.119 -311655 -222.867 163944 72.3958 72.3958 36.1193 120
3250 398.011 -311662 -340.671 163946 72.3961 72.3961 36.1194 120
3300 396.759 -311659 -502.431 163947 72.3962 72.3962 36.1195 120
3350 395.714 -311651 -279.934 163946 72.3961 72.3961 36.1194 120
3400 399.915 -311651 -58.8049 163945 72.3959 72.3959 36.1193 120
3450 404.919 -311652 367.093 163941 72.3953 72.3953 36.119 120
3500 401.686 -311638 91.6373 163938 72.3949 72.3949 36.1188 120
3550 403.638 -311639 165.531 163936 72.3946 72.3946 36.1187 120
3600 403.588 -311641 -96.7765 163933 72.3942 72.3942 36.1185 120
3650 399.908 -311640 947.274 163928 72.3934 72.3934 36.1181 120
3700 401.74 -311651 263.588 163926 72.3932 72.3932 36.118 120
3750 398.39 -311654 503.925 163929 72.3935 72.3935 36.1181 120
3800 397.488 -311660 -512.52 163939 72.395 72.395 36.1189 120
3850 395.699 -311661 -416.711 163949 72.3964 72.3964 36.1196 120
3900 393.316 -311657 -224.27 163954 72.3972 72.3972 36.12 120
3950 398.373 -311662 -321.735 163956 72.3975 72.3975 36.1201 120
4000 401.205 -311662 -637.637 163955 72.3973 72.3973 36.12 120
4050 401.944 -311654 656.549 163950 72.3967 72.3967 36.1197 120
4100 405.203 -311653 -1006 163946 72.3961 72.3961 36.1194 120
4150 399.259 -311636 -143.117 163940 72.3951 72.3951 36.1189 120
4200 403.218 -311643 449.813 163933 72.3942 72.3942 36.1185 120
4250 403.079 -311645 542.293 163930 72.3937 72.3937 36.1182 120
4300 400.266 -311644 429.25 163931 72.3939 72.3939 36.1183 120
4350 400.445 -311653 289.511 163936 72.3945 72.3945 36.1186 120
4400 395.095 -311651 696.425 163939 72.395 72.395 36.1189 120
4450 395.877 -311660 287.34 163944 72.3957 72.3957 36.1192 120
4500 399.249 -311670 644.495 163948 72.3963 72.3963 36.1195 120
4550 394.585 -311662 -473.192 163952 72.397 72.397 36.1199 120
4600 395.759 -311659 -286.141 163950 72.3967 72.3967 36.1197 120
4650 397.257 -311654 303.057 163945 72.3959 72.3959 36.1193 120
4700 400.443 -311653 436.341 163940 72.3952 72.3952 36.119 120
4750 400.709 -311646 -660.168 163938 72.3948 72.3948 36.1188 120
4800 407.176 -311654 647.381 163933 72.3941 72.3941 36.1184 120
4850 403.58 -311647 -233.544 163930 72.3937 72.3937 36.1182 120
4900 401.455 -311647 297.003 163924 72.3927 72.3927 36.1177 120
4950 403.289 -311657 -933.269 163914 72.3914 72.3914 36.1171 120
5000 399.268 -311657 -162.922 163901 72.3895 72.3895 36.1161 120
5050 402.238 -311670 705.536 163889 72.3877 72.3877 36.1152 120
5100 396.727 -311665 801.136 163885 72.387 72.387 36.1149 120
5150 395.371 -311666 912.936 163885 72.387 72.387 36.1149 120
5200 399.974 -311674 278.686 163892 72.3881 72.3881 36.1154 120
5250 396.287 -311663 696.687 163904 72.3898 72.3898 36.1163 120
5300 397.354 -311658 -523.382 163919 72.3921 72.3921 36.1174 120
5350 399.56 -311654 392.449 163931 72.3939 72.3939 36.1183 120
5400 403.571 -311655 -608.785 163943 72.3956 72.3956 36.1192 120
5450 405.248 -311656 -296.592 163952 72.3969 72.3969 36.1198 120
5500 401.892 -311648 410.531 163959 72.398 72.398 36.1204 120
5550 407.477 -311664 -478.28 163969 72.3994 72.3994 36.1211 120
5600 401.037 -311658 -876.028 163978 72.4007 72.4007 36.1217 120
5650 399.17 -311663 839.148 163982 72.4013 72.4013 36.122 120
5700 397.236 -311667 135.637 163990 72.4026 72.4026 36.1227 120
5750 397.671 -311672 721.71 164001 72.4042 72.4042 36.1234 120
5800 396.944 -311671 -1213.66 164014 72.406 72.406 36.1244 120
5850 397.318 -311670 292.833 164018 72.4067 72.4067 36.1247 120
5900 398.132 -311666 -1131.17 164019 72.4068 72.4068 36.1248 120
5950 399.973 -311662 -268.282 164012 72.4057 72.4057 36.1242 120
6000 401.774 -311658 997.975 164003 72.4044 72.4044 36.1236 120
6050 406.248 -311662 566.329 164000 72.404 72.404 36.1234 120
6100 405.7 -311659 -365.008 164002 72.4043 72.4043 36.1235 120
6150 401.44 -311654 283.632 164001 72.4042 72.4042 36.1235 120
6200 403.045 -311662 -150.559 163999 72.4038 72.4038 36.1233 120
6250 399.286 -311660 -257.122 163995 72.4032 72.4032 36.123 120
6300 399.281 -311667 1342.9 163987 72.402 72.402 36.1224 120
6350 396.778 -311669 -722.976 163983 72.4015 72.4015 36.1221 120
6400 396.354 -311671 658.237 163977 72.4006 72.4006 36.1217 120
6450 398.057 -311674 120.077 163973 72.4 72.4 36.1214 120
6500 399.889 -311674 892.998 163972 72.3999 72.3999 36.1213 120
6550 400.425 -311670 54.3606 163980 72.401 72.401 36.1219 120
6600 400.982 -311664 1057.62 163991 72.4027 72.4027 36.1227 120
6650 401.497 -311659 -1050.21 164011 72.4056 72.4056 36.1242 120
6700 405.217 -311663 -151.786 164024 72.4075 72.4075 36.1251 120
6750 402.5 -311658 -489.012 164031 72.4085 72.4085 36.1256 120
6800 401.149 -311656 -342.215 164035 72.4091 72.4091 36.1259 120
6850 400.808 -311661 -614.407 164035 72.4092 72.4092 36.1259 120
6900 400.573 -311666 -517.683 164031 72.4085 72.4085 36.1256 120
6950 396.837 -311666 -572.531 164023 72.4073 72.4073 36.125 120
7000 397.807 -311672 -594.204 164014 72.406 72.406 36.1244 120
7050 392.709 -311665 513.121 164005 72.4048 72.4048 36.1238 120
7100 398.189 -311676 -451.528 164000 72.4039 72.4039 36.1233 120
7150 400.2 -311676 -76.9537 163992 72.4029 72.4029 36.1228 120
7200 395.888 -311661 403.999 163986 72.4019 72.4019 36.1223 120
7250 399.557 -311663 -585.671 163980 72.4011 72.4011 36.1219 120
7300 401.803 -311662 1546.6 163974 72.4002 72.4002 36.1215 120
7350 403.914 -311663 683.21 163980 72.401 72.401 36.1219 120
