# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma
0 388.781 -311214 -931.621 164469 72.473 72.473 36.1578 120
50 386.669 -311214 -609.616 164484 72.4751 72.4751 36.1588 120
100 382.235 -311209 -1249.01 164492 72.4763 72.4763 36.1594 120
150 385.678 -311220 545.437 164497 72.477 72.477 36.1598 120
200 379.057 -311210 -29.7078 164505 72.4782 72.4782 36.1604 120
250 386.967 -311227 -183.039 164511 72.4791 72.4791 36.1608 120
300 382.899 -311219 -590.211 164515 72.4797 72.4797 36.1611 120
350 382.376 -311215 226.37 164516 72.4799 72.4799 36.1612 120
400 385.978 -311218 -137.802 164518 72.4802 72.4802 36.1614 120
450 383.526 -311210 -857.23 164520 72.4804 72.4804 36.1615 120
500 383.862 -311207 627.464 164516 72.4799 72.4799 36.1612 120
550 389.215 -311215 -405.711 164513 72.4795 72.4795 36.161 120
600 391.602 -311220 -131.019 164508 72.4786 72.4786 36.1606 120
650 386.585 -311212 178.457 164501 72.4776 72.4776 36.1601 120
700 386.997 -311216 917.097 164499 72.4773 72.4773 36.1599 120
750 385.042 -311215 97.4718 164503 72.478 72.478 36.1603 120
800 386.159 -311221 -434.969 164508 72.4787 72.4787 36.1606 120
850 384.972 -311222 519.146 164512 72.4793 72.4793 36.1609 120
900 383.398 -311220 -672.582 164518 72.4801 72.4801 36.1613 120
950 381.461 -311216 220.206 164519 72.4802 72.4802 36.1614 120
1000 384.479 -311220 781.44 164518 72.4802 72.4802 36.1614 120
1050 380.471 -311208 -639.871 164518 72.4801 72.4801 36.1613 120
1100 385.022 -311214 -209.081 164514 72.4795 72.4795 36.161 120
1150 383.906 -311208 856.862 164510 72.4789 72.4789 36.1607 120
1200 385 -311208 38.0046 164510 72.4789 72.4789 36.1608 120
1250 388.066 -311213 -256.06 164510 72.479 72.479 36.1608 120
1300 386.816 -311213 -310.486 164508 72.4787 72.4787 36.1606 120
1350 383.236 -311209 -1096.91 164503 72.4779 72.4779 36.1602 120
1400 382.233 -311212 408.03 164493 72.4765 72.4765 36.1595 120
1450 383.689 -311218 1639.98 164489 72.4758 72.4758 36.1592 120
1500 383.935 -311221 771.371 164495 72.4767 72.4767 36.1596 120
1550 380.57 -311216 -851.764 164505 72.4783 72.4783 36.1604 120
1600 381.577 -311217 930.453 164513 72.4793 72.4793 36.161 120
1650 382.985 -311218 -37.4089 164522 72.4807 72.4807 36.1617 120
1700 386.04 -311220 -566.329 164529 72.4818 72.4818 36.1622 120
1750 384.724 -311214 -405.27 164532 72.4821 72.4821 36.1624 120
1800 387.549 -311216 7.84392 164530 72.4819 72.4819 36.1622 120
1850 385.143 -311208 -177.9 164524 72.481 72.481 36.1618 120
1900 387.703 -311212 10.5936 164517 72.48 72.48 36.1613 120
1950 389.175 -311217 1208.7 164513 72.4794 72.4794 36.161 120
2000 385.957 -311215 -405.936 164515 72.4797 72.4797 36.1612 120
2050 386.199 -311220 400.088 164517 72.48 72.48 36.1613 120
2100 383.025 -311219 77.5566 164522 72.4807 72.4807 36.1617 120
2150 383.051 -311222 -692.729 164529 72.4817 72.4817 36.1621 120
2200 381.249 -311219 -441.976 164529 72.4817 72.4817 36.1622 120
2250 384.402 -311224 -568.029 164526 72.4813 72.4813 36.1619 120
2300 381.235 -311214 699.286 164520 72.4804 72.4804 36.1615 120
2350 387.335 -311221 124.536 164515 72.4797 72.4797 36.1611 120
2400 384.01 -311210 1073.2 164512 72.4793 72.4793 36.1609 120
2450 385.852 -311210 255.751 164517 72.48 72.48 36.1613 120
2500 388.825 -311215 475.756 164525 72.4812 72.4812 36.1619 120
2550 385.967 -311210 -475.513 164536 72.4828 72.4828 36.1627 120
2600 386.03 -311212 -145.232 164546 72.4842 72.4842 36.1634 120
2650 387.412 -311219 -1021.11 164553 72.4853 72.4853 36.1639 120
2700 380.861 -311212 -763.591 164555 72.4856 72.4856 36.1641 120
2750 386.168 -311226 -1321.84 164554 72.4854 72.4854 36.164 120
2800 380.909 -311218 -602.722 164547 72.4844 72.4844 36.1635 120
2850 383.831 -311224 810.334 164537 72.4829 72.4829 36.1627 120
2900 384.866 -311224 32.9768 164530 72.4819 72.4819 36.1622 120
2950 383.182 -311217 194.632 164522 72.4808 72.4808 36.1617 120
3000 385.084 -311216 452.071 164517 72.48 72.48 36.1613 120
3050 388.328 -311219 320.485 164516 72.4798 72.4798 36.1612 120
3100 384.91 -311210 -229.312 164516 72.4799 72.4799 36.1612 120
3150 386.55 -311213 153.816 164518 72.4802 72.4802 36.1614 120
3200 383.881 -311208 -143.906 164522 72.4807 72.4807 36.1616 120
3250 387.489 -311217 473.462 164522 72.4807 72.4807 36.1616 120
3300 382.41 -311212 218.942 164522 72.4808 72.4808 36.1617 120
3350 382.756 -311217 -716.485 164527 72.4814 72.4814 36.162 120
3400 383.332 -311222 -595.398 164529 72.4817 72.4817 36.1621 120
3450 382.155 -311222 91.3919 164527 72.4815 72.4815 36.162 120
3500 383.851 -311224 133.444 164528 72.4816 72.4816 36.1621 120
3550 385.737 -311226 -906.935 164530 72.4819 72.4819 36.1623 120
3600 383.578 -311218 311.123 164530 72.4819 72.4819 36.1622 120
3650 385.095 -311218 136.618 164530 72.4819 72.4819 36.1623 120
3700 386.106 -311215 -4.97279 164531 72.482 72.482 36.1623 120
3750 391.024 -311222 -306.077 164530 72.4819 72.4819 36.1623 120
3800 384.298 -311208 70.7611 164530 72.4819 72.4819 36.1622 120
3850 383.521 -311208 -206.883 164527 72.4814 72.4814 36.162 120
3900 388.466 -311220 342.111 164522 72.4807 72.4807 36.1616 120
3950 383.458 -311215 -337.365 164520 72.4804 72.4804 36.1615 120
4000 387.641 -311226 72.7154 164518 72.4801 72.4801 36.1613 120
4050 386.159 -311227 -864.849 164514 72.4796 72.4796 36.1611 120
4100 383.769 -311224 290.106 164512 72.4793 72.4793 36.1609 120
4150 382.607 -311221 -396.349 164514 72.4795 72.4795 36.161 120
4200 384.711 -311224 -963.862 164513 72.4795 72.4795 36.161 120
4250 382.995 -311218 -223.801 164509 72.4789 72.4789 36.1607 120
4300 386.34 -311221 86.0853 164505 72.4783 72.4783 36.1604 120
4350 387.936 -311220 1165.44 164502 72.4778 72.4778 36.1602 120
4400 386.623 -311216 31.4404 164505 72.4782 72.4782 36.1604 120
4450 384.201 -311211 -1200.05 164506 72.4784 72.4784 36.1605 120
4500 387.415 -311218 828.254 164502 72.4779 72.4779 36.1602 120
4550 387.998 -311222 -391.385 164502 72.4777 72.4777 36.1602 120
4600 384.749 -311219 -166.661 164499 72.4774 72.4774 36.16 120
4650 383.631 -311221 519.565 164497 72.4771 72.4771 36.1599 120
4700 382.815 -311223 926.196 164500 72.4774 72.4774 36.16 120
4750 383.879 -311227 297.66 164506 72.4784 72.4784 36.1605 120
4800 381.745 -311223 486.639 164516 72.4798 72.4798 36.1612 120
4850 380.807 -311219 -103.923 164534 72.4825 72.4825 36.1625 120
4900 383.857 -311221 -715.98 164552 72.4852 72.4852 36.1639 120
4950 384.753 -311219 15.9832 164567 72.4873 72.4873 36.1649 120
5000 384.604 -311213 -657.326 164581 72.4894 72.4894 36.166 120
5050 388.535 -311218 -299.706 164591 72.4908 72.4908 36.1667 120
5100 388.204 -311218 -1271.28 164594 72.4912 72.4912 36.1669 120
5150 385.583 -311215 -815.28 164588 72.4905 72.4905 36.1665 120
5200 384.259 -311215 79.7405 164577 72.4887 72.4887 36.1656 120
5250 384.825 -311221 -607.062 164562 72.4865 72.4865 36.1645 120
5300 382.659 -311222 -187.973 164540 72.4834 72.4834 36.163 120
5350 381.306 -311222 706.663 164518 72.4802 72.4802 36.1614 120
5400 384.289 -311230 133.49 164499 72.4773 72.4773 36.1599 120
5450 383.222 -311227 66.7327 164477 72.4741 72.4741 36.1584 120
5500 381.395 -311221 1315.93 164457 72.4711 72.4712 36.1569 120
5550 384.622 -311223 368.595 164447 72.4697 72.4697 36.1561 120
5600 384.413 -311219 -152.996 164443 72.4692 72.4692 36.1559 120
5650 387.566 -311220 1260.68 164442 72.469 72.469 36.1558 120
5700 386.045 -311216 430.481 164451 72.4703 72.4703 36.1564 120
5750 386.186 -311216 1435.69 164468 72.4728 72.4728 36.1577 120
5800 386.058 -311218 -188.816 164495 72.4768 72.4768 36.1597 120
5850 384.97 -311220 138.128 164526 72.4813 72.4813 36.1619 120
5900 387.084 -311229 -929.537 164557 72.4859 72.4859 36.1642 120
5950 382.726 -311224 -1841.1 164581 72.4894 72.4894 36.166 120
6000 384.534 -311229 -1641.36 164593 72.4911 72.4911 36.1668 120
6050 381.444 -311222 406.985 164594 72.4914 72.4914 36.167 120
6100 383.981 -311225 317.181 164597 72.4917 72.4917 36.1671 120
6150 385.473 -311224 -1820.84 164600 72.4921 72.4921 36.1673 120
6200 384.035 -311218 419.777 164594 72.4912 72.4912 36.1669 120
6250 383.317 -311212 -33.8045 164588 72.4903 72.4904 36.1664 120
6300 386.961 -311217 -389.298 164577 72.4888 72.4888 36.1657 120
6350 388.372 -311219 -829.929 164558 72.4861 72.4861 36.1643 120
6400 385.535 -311216 -355.674 164531 72.4821 72.4821 36.1623 120
6450 387.612 -311224 56.406 164503 72.478 72.478 36.1603 120
6500 385.377 -311224 1108.17 164477 72.4742 72.4742 36.1584 120
6550 385.759 -311229 729.88 164460 72.4716 72.4716 36.1571 120
6600 384.937 -311229 733.596 164451 72.4703 72.4703 36.1565 120
6650 384.888 -311229 958.594 164451 72.4702 72.4702 36.1564 120
6700 385.149 -311228 276.268 164458 72.4714 72.4714 36.157 120
6750 384.028 -311221 -53.4143 164473 72.4735 72.4735 36.158 120
6800 386.136 -311218 884.45 164494 72.4766 72.4766 36.1596 120
6850 383.375 -311208 605.664 164525 72.4812 72.4812 36.1619 120
6900 387.268 -311214 -350.765 164563 72.4868 72.4868 36.1647 120
6950 389.806 -311221 211.078 164600 72.4922 72.4922 36.1674 120
7000 383.626 -311213 -1261.92 164634 72.4971 72.4971 36.1698 120
7050 386.205 -311221 -1056.29 164658 72.5006 72.5006 36.1716 120
7100 385.76 -311223 -696.523 164670 72.5025 72.5025 36.1725 120
